county,precinct,office,district,candidate,party,total,election_day,early_voting,av_counting_boards,votes
Lake,"Eden Township, Precinct 4",Eden Township Treasurer,,Under Vote Count,,75,69,6,0,75
Lake,"Eden Township, Precinct 4",Eden Township Trustee,,Ballots Cast,,345,308,37,0,345
Lake,"Eden Township, Precinct 4",Eden Township Trustee,,Nancy Frazee,Democrat,113,106,7,0,113
Lake,"Eden Township, Precinct 4",Eden Township Trustee,,Gary John Oetman,Republican,223,197,26,0,223
Lake,"Eden Township, Precinct 4",Eden Township Trustee,,Maggie Shaughnessy,Republican,215,192,23,0,215
Lake,"Eden Township, Precinct 4",Eden Township Trustee,,Write-in,,2,2,0,0,2
Lake,"Eden Township, Precinct 4",Eden Township Trustee,,Over Vote Count,,0,0,0,0,0
Lake,"Eden Township, Precinct 4",Eden Township Trustee,,Under Vote Count,,137,119,18,0,137
Lake,"Eden Township, Precinct 4",Justice of Supreme Court,,Ballots Cast,,345,308,37,0,345
Lake,"Eden Township, Precinct 4",Justice of Supreme Court,,Andrew Fink,,120,105,15,0,120
Lake,"Eden Township, Precinct 4",Justice of Supreme Court,,Kimberly Ann Thomas,,118,108,10,0,118
Lake,"Eden Township, Precinct 4",Justice of Supreme Court,,Write-in,,3,3,0,0,3
Lake,"Eden Township, Precinct 4",Justice of Supreme Court,,Over Vote Count,,0,0,0,0,0
Lake,"Eden Township, Precinct 4",Justice of Supreme Court,,Under Vote Count,,104,92,12,0,104
Lake,"Eden Township, Precinct 4",Justice of Supreme Court Partial Term,,Ballots Cast,,345,308,37,0,345
Lake,"Eden Township, Precinct 4",Justice of Supreme Court Partial Term,,Kyra Harris Bolden,,102,92,10,0,102
Lake,"Eden Township, Precinct 4",Justice of Supreme Court Partial Term,,Patrick William O'Grady,,136,120,16,0,136
Lake,"Eden Township, Precinct 4",Justice of Supreme Court Partial Term,,Write-in,,3,3,0,0,3
Lake,"Eden Township, Precinct 4",Justice of Supreme Court Partial Term,,Over Vote Count,,0,0,0,0,0
Lake,"Eden Township, Precinct 4",Justice of Supreme Court Partial Term,,Under Vote Count,,104,93,11,0,104
Lake,"Eden Township, Precinct 4",Judge of Court of Appeals 4th District 6 Year Term,,Ballots Cast,,345,308,37,0,345
Lake,"Eden Township, Precinct 4",Judge of Court of Appeals 4th District 6 Year Term,,Stephen L. Borrello,,201,180,21,0,201
Lake,"Eden Township, Precinct 4",Judge of Court of Appeals 4th District 6 Year Term,,Write-in,,5,5,0,0,5
Lake,"Eden Township, Precinct 4",Judge of Court of Appeals 4th District 6 Year Term,,Over Vote Count,,0,0,0,0,0
Lake,"Eden Township, Precinct 4",Judge of Court of Appeals 4th District 6 Year Term,,Under Vote Count,,139,123,16,0,139
Lake,"Eden Township, Precinct 4",Judge of Court of Appeals 4th District Partial Term Ending 01/01/2027,,Ballots Cast,,345,308,37,0,345
Lake,"Eden Township, Precinct 4",Judge of Court of Appeals 4th District Partial Term Ending 01/01/2027,,Allie Greenleaf Maldonado,,194,174,20,0,194
Lake,"Eden Township, Precinct 4",Judge of Court of Appeals 4th District Partial Term Ending 01/01/2027,,Write-in,,5,5,0,0,5
Lake,"Eden Township, Precinct 4",Judge of Court of Appeals 4th District Partial Term Ending 01/01/2027,,Over Vote Count,,0,0,0,0,0
Lake,"Eden Township, Precinct 4",Judge of Court of Appeals 4th District Partial Term Ending 01/01/2027,,Under Vote Count,,146,129,17,0,146
Lake,"Eden Township, Precinct 4",Judge of Probate Court,,Ballots Cast,,345,308,37,0,345
Lake,"Eden Township, Precinct 4",Judge of Probate Court,,Floyd Brown,,59,51,8,0,59
Lake,"Eden Township, Precinct 4",Judge of Probate Court,,David M. Glancy,,162,146,16,0,162
Lake,"Eden Township, Precinct 4",Judge of Probate Court,,Write-in,,4,4,0,0,4
Lake,"Eden Township, Precinct 4",Judge of Probate Court,,Over Vote Count,,0,0,0,0,0
Lake,"Eden Township, Precinct 4",Judge of Probate Court,,Under Vote Count,,120,107,13,0,120
Lake,"Eden Township, Precinct 4",Baldwin Community School District Board Member,,Ballots Cast,,345,308,37,0,345
Lake,"Eden Township, Precinct 4",Baldwin Community School District Board Member,,Katena Abraham,,127,118,9,0,127
Lake,"Eden Township, Precinct 4",Baldwin Community School District Board Member,,Marion Carter Jr.,,110,101,9,0,110
Lake,"Eden Township, Precinct 4",Baldwin Community School District Board Member,,Mary Ann Martin,,135,126,9,0,135
Lake,"Eden Township, Precinct 4",Baldwin Community School District Board Member,,David VanHorn,,119,110,9,0,119
Lake,"Eden Township, Precinct 4",Baldwin Community School District Board Member,,Write-in,,4,3,1,0,4
Lake,"Eden Township, Precinct 4",Baldwin Community School District Board Member,,Over Vote Count,,0,0,0,0,0
Lake,"Eden Township, Precinct 4",Baldwin Community School District Board Member,,Under Vote Count,,885,774,111,0,885
Lake,"Eden Township, Precinct 4",Baldwin Community School District Board Member - Partial Term,,Ballots Cast,,345,308,37,0,345
Lake,"Eden Township, Precinct 4",Baldwin Community School District Board Member - Partial Term,,Write-in,,20,20,0,0,20
Lake,"Eden Township, Precinct 4",Baldwin Community School District Board Member - Partial Term,,Over Vote Count,,0,0,0,0,0
Lake,"Eden Township, Precinct 4",Baldwin Community School District Board Member - Partial Term,,Under Vote Count,,325,288,37,0,325
Lake,"Eden Township, Precinct 4",Lake County Veterans Affairs Proposal,,Ballots Cast,,345,308,37,0,345
Lake,"Eden Township, Precinct 4",Lake County Veterans Affairs Proposal,,Yes,,228,205,23,0,228
Lake,"Eden Township, Precinct 4",Lake County Veterans Affairs Proposal,,No,,67,57,10,0,67
Lake,"Eden Township, Precinct 4",Lake County Veterans Affairs Proposal,,Over Vote Count,,0,0,0,0,0
Lake,"Eden Township, Precinct 4",Lake County Veterans Affairs Proposal,,Under Vote Count,,50,46,4,0,50
Lake,"Eden Township, Precinct 4",Lake County Emergency Medical Services Millage Proposal,,Ballots Cast,,345,308,37,0,345
Lake,"Eden Township, Precinct 4",Lake County Emergency Medical Services Millage Proposal,,Yes,,209,190,19,0,209
Lake,"Eden Township, Precinct 4",Lake County Emergency Medical Services Millage Proposal,,No,,89,75,14,0,89
Lake,"Eden Township, Precinct 4",Lake County Emergency Medical Services Millage Proposal,,Over Vote Count,,0,0,0,0,0
Lake,"Eden Township, Precinct 4",Lake County Emergency Medical Services Millage Proposal,,Under Vote Count,,47,43,4,0,47
Lake,"Eden Township, Precinct 4",Baldwin Community School Safety Bond Proposal,,Ballots Cast,,345,308,37,0,345
Lake,"Eden Township, Precinct 4",Baldwin Community School Safety Bond Proposal,,Yes,,148,130,18,0,148
Lake,"Eden Township, Precinct 4",Baldwin Community School Safety Bond Proposal,,No,,153,138,15,0,153
Lake,"Eden Township, Precinct 4",Baldwin Community School Safety Bond Proposal,,Over Vote Count,,0,0,0,0,0
Lake,"Eden Township, Precinct 4",Baldwin Community School Safety Bond Proposal,,Under Vote Count,,44,40,4,0,44
Lake,"Elk Township, Precinct 5",President,,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",President,,Kamala D. Harris,Democrat,266,252,14,0,266
Lake,"Elk Township, Precinct 5",President,,Donald J. Trump,Republican,456,400,56,0,456
Lake,"Elk Township, Precinct 5",President,,Chase Oliver,Libertarian,3,3,0,0,3
Lake,"Elk Township, Precinct 5",President,,Jill Stein,Green,3,3,0,0,3
Lake,"Elk Township, Precinct 5",President,,"Robert F. Kennedy, Jr.",Natural Law,5,5,0,0,5
Lake,"Elk Township, Precinct 5",President,,Cornel West / Melina Abdullah,No Party Affiliation,1,1,0,0,1
Lake,"Elk Township, Precinct 5",President,,Write-in,,1,1,0,0,1
Lake,"Elk Township, Precinct 5",President,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",President,,Under Vote Count,,3,3,0,0,3
Lake,"Elk Township, Precinct 5",U.S. Senate,,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",U.S. Senate,,Elissa Slotkin,Democrat,254,242,12,0,254
Lake,"Elk Township, Precinct 5",U.S. Senate,,Mike Rogers,Republican,443,389,54,0,443
Lake,"Elk Township, Precinct 5",U.S. Senate,,Joseph Solis-Mullen,Libertarian,5,5,0,0,5
Lake,"Elk Township, Precinct 5",U.S. Senate,,Dave Stein,U.S. Taxpayers,5,4,1,0,5
Lake,"Elk Township, Precinct 5",U.S. Senate,,Douglas P. Marsh,Green,2,1,1,0,2
Lake,"Elk Township, Precinct 5",U.S. Senate,,Doug Dern,Natural Law,6,6,0,0,6
Lake,"Elk Township, Precinct 5",U.S. Senate,,Write-in,,2,1,1,0,2
Lake,"Elk Township, Precinct 5",U.S. Senate,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",U.S. Senate,,Under Vote Count,,21,20,1,0,21
Lake,"Elk Township, Precinct 5",U.S. House,2,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",U.S. House,2,Michael Lynch,Democrat,231,220,11,0,231
Lake,"Elk Township, Precinct 5",U.S. House,2,John R. Moolenaar,Republican,457,405,52,0,457
Lake,"Elk Township, Precinct 5",U.S. House,2,Ben DeJong,Libertarian,3,3,0,0,3
Lake,"Elk Township, Precinct 5",U.S. House,2,Scott Adams,U.S. Taxpayers,8,7,1,0,8
Lake,"Elk Township, Precinct 5",U.S. House,2,Write-in,,2,1,1,0,2
Lake,"Elk Township, Precinct 5",U.S. House,2,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",U.S. House,2,Under Vote Count,,37,32,5,0,37
Lake,"Elk Township, Precinct 5",State House,101,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",State House,101,Christopher R. Crain,Democrat,249,238,11,0,249
Lake,"Elk Township, Precinct 5",State House,101,Joseph D. Fox,Republican,443,391,52,0,443
Lake,"Elk Township, Precinct 5",State House,101,Write-in,,5,3,2,0,5
Lake,"Elk Township, Precinct 5",State House,101,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",State House,101,Under Vote Count,,41,36,5,0,41
Lake,"Elk Township, Precinct 5",Member of the State Board of Education,,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",Member of the State Board of Education,,Theodore Jones,Democrat,220,212,8,0,220
Lake,"Elk Township, Precinct 5",Member of the State Board of Education,,Adam Frederick Zemke,Democrat,207,199,8,0,207
Lake,"Elk Township, Precinct 5",Member of the State Board of Education,,Tom McMillin,Republican,393,348,45,0,393
Lake,"Elk Township, Precinct 5",Member of the State Board of Education,,Nikki Snyder,Republican,398,356,42,0,398
Lake,"Elk Township, Precinct 5",Member of the State Board of Education,,Scotty Boman,Libertarian,11,10,1,0,11
Lake,"Elk Township, Precinct 5",Member of the State Board of Education,,Ted Gerrard,U.S. Taxpayers,6,6,0,0,6
Lake,"Elk Township, Precinct 5",Member of the State Board of Education,,Christine C. Schwartz,U.S. Taxpayers,13,12,1,0,13
Lake,"Elk Township, Precinct 5",Member of the State Board of Education,,Mary Anne Hering,Working Class,33,29,4,0,33
Lake,"Elk Township, Precinct 5",Member of the State Board of Education,,Write-in,,4,3,1,0,4
Lake,"Elk Township, Precinct 5",Member of the State Board of Education,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",Member of the State Board of Education,,Under Vote Count,,191,161,30,0,191
Lake,"Elk Township, Precinct 5",Regent of the University of Michigan,,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",Regent of the University of Michigan,,Denise Ilitch,Democrat,230,220,10,0,230
Lake,"Elk Township, Precinct 5",Regent of the University of Michigan,,Shauna Ryder Diggs,Democrat,220,209,11,0,220
Lake,"Elk Township, Precinct 5",Regent of the University of Michigan,,Carl Meyers,Republican,413,366,47,0,413
Lake,"Elk Township, Precinct 5",Regent of the University of Michigan,,Sevag Vartanian,Republican,356,316,40,0,356
Lake,"Elk Township, Precinct 5",Regent of the University of Michigan,,Andrew Chadderdon,Libertarian,20,19,1,0,20
Lake,"Elk Township, Precinct 5",Regent of the University of Michigan,,Donna M. Oetman,U.S. Taxpayers,25,23,2,0,25
Lake,"Elk Township, Precinct 5",Regent of the University of Michigan,,Write-in,,1,1,0,0,1
Lake,"Elk Township, Precinct 5",Regent of the University of Michigan,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",Regent of the University of Michigan,,Under Vote Count,,211,182,29,0,211
Lake,"Elk Township, Precinct 5",Trustee of Michigan State University,,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",Trustee of Michigan State University,,Rebecca Bahar-Cook,Democrat,218,208,10,0,218
Lake,"Elk Township, Precinct 5",Trustee of Michigan State University,,Thomas Stallworth III,Democrat,205,197,8,0,205
Lake,"Elk Township, Precinct 5",Trustee of Michigan State University,,Mike Balow,Republican,392,347,45,0,392
Lake,"Elk Township, Precinct 5",Trustee of Michigan State University,,Julie Maday,Republican,383,342,41,0,383
Lake,"Elk Township, Precinct 5",Trustee of Michigan State University,,Grant T. Baker,Libertarian,17,16,1,0,17
Lake,"Elk Township, Precinct 5",Trustee of Michigan State University,,Janet M. Sanger,U.S. Taxpayers,12,12,0,0,12
Lake,"Elk Township, Precinct 5",Trustee of Michigan State University,,John Paul Sanger,U.S. Taxpayers,11,10,1,0,11
Lake,"Elk Township, Precinct 5",Trustee of Michigan State University,,John Anthony La Pietra,Green,6,6,0,0,6
Lake,"Elk Township, Precinct 5",Trustee of Michigan State University,,Write-in,,1,0,1,0,1
Lake,"Elk Township, Precinct 5",Trustee of Michigan State University,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",Trustee of Michigan State University,,Under Vote Count,,231,198,33,0,231
Lake,"Elk Township, Precinct 5",Governor of Wayne State University,,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",Governor of Wayne State University,,Rasha Demashkieh,Democrat,207,198,9,0,207
Lake,"Elk Township, Precinct 5",Governor of Wayne State University,,Mark T. Gaffney,Democrat,210,201,9,0,210
Lake,"Elk Township, Precinct 5",Governor of Wayne State University,,Michael Busuito,Republican,391,344,47,0,391
Lake,"Elk Township, Precinct 5",Governor of Wayne State University,,Sunny Reddy,Republican,375,335,40,0,375
Lake,"Elk Township, Precinct 5",Governor of Wayne State University,,Farid Ishac,Libertarian,8,7,1,0,8
Lake,"Elk Township, Precinct 5",Governor of Wayne State University,,William Mohr II,U.S. Taxpayers,10,10,0,0,10
Lake,"Elk Township, Precinct 5",Governor of Wayne State University,,Sami Makhoul,Green,5,5,0,0,5
Lake,"Elk Township, Precinct 5",Governor of Wayne State University,,Suzanne Roehrig,Working Class,19,18,1,0,19
Lake,"Elk Township, Precinct 5",Governor of Wayne State University,,Kathleen Oakford,Natural Law,7,7,0,0,7
Lake,"Elk Township, Precinct 5",Governor of Wayne State University,,Write-in,,2,1,1,0,2
Lake,"Elk Township, Precinct 5",Governor of Wayne State University,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",Governor of Wayne State University,,Under Vote Count,,242,210,32,0,242
Lake,"Elk Township, Precinct 5",County Prosecuting Attorney,,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",County Prosecuting Attorney,,Gregory T. Mick,No Party Affiliation,217,191,26,0,217
Lake,"Elk Township, Precinct 5",County Prosecuting Attorney,,Al Swanson,No Party Affiliation,203,189,14,0,203
Lake,"Elk Township, Precinct 5",County Prosecuting Attorney,,Write-in,,4,3,1,0,4
Lake,"Elk Township, Precinct 5",County Prosecuting Attorney,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",County Prosecuting Attorney,,Under Vote Count,,314,285,29,0,314
Lake,"Elk Township, Precinct 5",County Sheriff,,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",County Sheriff,,Rich Martin,Republican,460,411,49,0,460
Lake,"Elk Township, Precinct 5",County Sheriff,,Joseph Umbreit,No Party Affiliation,192,177,15,0,192
Lake,"Elk Township, Precinct 5",County Sheriff,,Write-in,,6,4,2,0,6
Lake,"Elk Township, Precinct 5",County Sheriff,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",County Sheriff,,Under Vote Count,,80,76,4,0,80
Lake,"Elk Township, Precinct 5",County Clerk and Register of Deeds,,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",County Clerk and Register of Deeds,,Patti Pacola,Republican,476,422,54,0,476
Lake,"Elk Township, Precinct 5",County Clerk and Register of Deeds,,Ryan Weston Ducati,No Party Affiliation,151,144,7,0,151
Lake,"Elk Township, Precinct 5",County Clerk and Register of Deeds,,Write-in,,4,3,1,0,4
Lake,"Elk Township, Precinct 5",County Clerk and Register of Deeds,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",County Clerk and Register of Deeds,,Under Vote Count,,107,99,8,0,107
Lake,"Elk Township, Precinct 5",County Treasurer,,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",County Treasurer,,Kellie Allen,Republican,535,480,55,0,535
Lake,"Elk Township, Precinct 5",County Treasurer,,Write-in,,10,8,2,0,10
Lake,"Elk Township, Precinct 5",County Treasurer,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",County Treasurer,,Under Vote Count,,193,180,13,0,193
Lake,"Elk Township, Precinct 5",County Road Commissioner,,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",County Road Commissioner,,Jim Fri,Democrat,237,224,13,0,237
Lake,"Elk Township, Precinct 5",County Road Commissioner,,Don Divis,Republican,452,401,51,0,452
Lake,"Elk Township, Precinct 5",County Road Commissioner,,Write-in,,3,2,1,0,3
Lake,"Elk Township, Precinct 5",County Road Commissioner,,Over Vote Count,,1,1,0,0,1
Lake,"Elk Township, Precinct 5",County Road Commissioner,,Under Vote Count,,45,40,5,0,45
Lake,"Elk Township, Precinct 5",County Surveyor,,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",County Surveyor,,Patrick Johnson,Republican,520,464,56,0,520
Lake,"Elk Township, Precinct 5",County Surveyor,,Write-in,,11,10,1,0,11
Lake,"Elk Township, Precinct 5",County Surveyor,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",County Surveyor,,Under Vote Count,,207,194,13,0,207
Lake,"Elk Township, Precinct 5",County Commissioner 5th District,,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",County Commissioner 5th District,,Mike Seroczynski,Republican,511,454,57,0,511
Lake,"Elk Township, Precinct 5",County Commissioner 5th District,,Write-in,,12,11,1,0,12
Lake,"Elk Township, Precinct 5",County Commissioner 5th District,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",County Commissioner 5th District,,Under Vote Count,,215,203,12,0,215
Lake,"Elk Township, Precinct 5",Elk Township Supervisor,,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",Elk Township Supervisor,,Jeff Mather,Republican,505,450,55,0,505
Lake,"Elk Township, Precinct 5",Elk Township Supervisor,,Write-in,,46,43,3,0,46
Lake,"Elk Township, Precinct 5",Elk Township Supervisor,,Jeff Riggs,,33,31,2,0,33
Lake,"Elk Township, Precinct 5",Elk Township Supervisor,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",Elk Township Supervisor,,Under Vote Count,,187,175,12,0,187
Lake,"Elk Township, Precinct 5",Elk Township Clerk,,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",Elk Township Clerk,,Karen Fickies,Republican,536,481,55,0,536
Lake,"Elk Township, Precinct 5",Elk Township Clerk,,Write-in,,12,11,1,0,12
Lake,"Elk Township, Precinct 5",Elk Township Clerk,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",Elk Township Clerk,,Under Vote Count,,190,176,14,0,190
Lake,"Elk Township, Precinct 5",Elk Township Treasurer,,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",Elk Township Treasurer,,Write-in,,56,53,3,0,56
Lake,"Elk Township, Precinct 5",Elk Township Treasurer,,Sandra Mather,,22,21,1,0,22
Lake,"Elk Township, Precinct 5",Elk Township Treasurer,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",Elk Township Treasurer,,Under Vote Count,,682,615,67,0,682
Lake,"Elk Township, Precinct 5",Elk Township Trustee,,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",Elk Township Trustee,,Joyce Durdel,No Party Affiliation,262,243,19,0,262
Lake,"Elk Township, Precinct 5",Elk Township Trustee,,Craig M. Fazakerly,No Party Affiliation,174,156,18,0,174
Lake,"Elk Township, Precinct 5",Elk Township Trustee,,Jack Hankiewicz,No Party Affiliation,259,232,27,0,259
Lake,"Elk Township, Precinct 5",Elk Township Trustee,,Write-in,,6,4,2,0,6
Lake,"Elk Township, Precinct 5",Elk Township Trustee,,Over Vote Count,,2,2,0,0,2
Lake,"Elk Township, Precinct 5",Elk Township Trustee,,Under Vote Count,,773,699,74,0,773
Lake,"Elk Township, Precinct 5",Justice of Supreme Court,,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",Justice of Supreme Court,,Andrew Fink,,288,257,31,0,288
Lake,"Elk Township, Precinct 5",Justice of Supreme Court,,Kimberly Ann Thomas,,253,240,13,0,253
Lake,"Elk Township, Precinct 5",Justice of Supreme Court,,Write-in,,5,4,1,0,5
Lake,"Elk Township, Precinct 5",Justice of Supreme Court,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",Justice of Supreme Court,,Under Vote Count,,192,167,25,0,192
Lake,"Elk Township, Precinct 5",Justice of Supreme Court Partial Term,,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",Justice of Supreme Court Partial Term,,Kyra Harris Bolden,,301,286,15,0,301
Lake,"Elk Township, Precinct 5",Justice of Supreme Court Partial Term,,Patrick William O'Grady,,236,211,25,0,236
Lake,"Elk Township, Precinct 5",Justice of Supreme Court Partial Term,,Write-in,,6,4,2,0,6
Lake,"Elk Township, Precinct 5",Justice of Supreme Court Partial Term,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",Justice of Supreme Court Partial Term,,Under Vote Count,,195,167,28,0,195
Lake,"Elk Township, Precinct 5",Judge of Court of Appeals 4th District 6 Year Term,,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",Judge of Court of Appeals 4th District 6 Year Term,,Stephen L. Borrello,,407,375,32,0,407
Lake,"Elk Township, Precinct 5",Judge of Court of Appeals 4th District 6 Year Term,,Write-in,,12,8,4,0,12
Lake,"Elk Township, Precinct 5",Judge of Court of Appeals 4th District 6 Year Term,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",Judge of Court of Appeals 4th District 6 Year Term,,Under Vote Count,,319,285,34,0,319
Lake,"Elk Township, Precinct 5",Judge of Court of Appeals 4th District Partial Term Ending 01/01/2027,,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",Judge of Court of Appeals 4th District Partial Term Ending 01/01/2027,,Allie Greenleaf Maldonado,,400,369,31,0,400
Lake,"Elk Township, Precinct 5",Judge of Court of Appeals 4th District Partial Term Ending 01/01/2027,,Write-in,,12,8,4,0,12
Lake,"Elk Township, Precinct 5",Judge of Court of Appeals 4th District Partial Term Ending 01/01/2027,,Over Vote Count,,1,0,1,0,1
Lake,"Elk Township, Precinct 5",Judge of Court of Appeals 4th District Partial Term Ending 01/01/2027,,Under Vote Count,,325,291,34,0,325
Lake,"Elk Township, Precinct 5",Judge of Probate Court,,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",Judge of Probate Court,,Floyd Brown,,153,144,9,0,153
Lake,"Elk Township, Precinct 5",Judge of Probate Court,,David M. Glancy,,354,326,28,0,354
Lake,"Elk Township, Precinct 5",Judge of Probate Court,,Write-in,,8,6,2,0,8
Lake,"Elk Township, Precinct 5",Judge of Probate Court,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",Judge of Probate Court,,Under Vote Count,,223,192,31,0,223
Lake,"Elk Township, Precinct 5",Baldwin Community School District Board Member,,Ballots Cast,,258,233,25,0,258
Lake,"Elk Township, Precinct 5",Baldwin Community School District Board Member,,Katena Abraham,,110,102,8,0,110
Lake,"Elk Township, Precinct 5",Baldwin Community School District Board Member,,Marion Carter Jr.,,101,91,10,0,101
Lake,"Elk Township, Precinct 5",Baldwin Community School District Board Member,,Mary Ann Martin,,116,108,8,0,116
Lake,"Elk Township, Precinct 5",Baldwin Community School District Board Member,,David VanHorn,,112,104,8,0,112
Lake,"Elk Township, Precinct 5",Baldwin Community School District Board Member,,Write-in,,1,1,0,0,1
Lake,"Elk Township, Precinct 5",Baldwin Community School District Board Member,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",Baldwin Community School District Board Member,,Under Vote Count,,592,526,66,0,592
Lake,"Elk Township, Precinct 5",Baldwin Community School District Board Member - Partial Term,,Ballots Cast,,258,233,25,0,258
Lake,"Elk Township, Precinct 5",Baldwin Community School District Board Member - Partial Term,,Write-in,,16,15,1,0,16
Lake,"Elk Township, Precinct 5",Baldwin Community School District Board Member - Partial Term,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",Baldwin Community School District Board Member - Partial Term,,Under Vote Count,,242,218,24,0,242
Lake,"Elk Township, Precinct 5",Kaleva Norman Dickson School District Board Member,,Ballots Cast,,480,435,45,0,480
Lake,"Elk Township, Precinct 5",Kaleva Norman Dickson School District Board Member,,Write-in,,51,49,2,0,51
Lake,"Elk Township, Precinct 5",Kaleva Norman Dickson School District Board Member,,Arthur Fraley,,12,12,0,0,12
Lake,"Elk Township, Precinct 5",Kaleva Norman Dickson School District Board Member,,Chad Wardie,,10,10,0,0,10
Lake,"Elk Township, Precinct 5",Kaleva Norman Dickson School District Board Member,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",Kaleva Norman Dickson School District Board Member,,Under Vote Count,,1389,1256,133,0,1389
Lake,"Elk Township, Precinct 5",Lake County Veterans Affairs Proposal,,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",Lake County Veterans Affairs Proposal,,Yes,,514,465,49,0,514
Lake,"Elk Township, Precinct 5",Lake County Veterans Affairs Proposal,,No,,141,132,9,0,141
Lake,"Elk Township, Precinct 5",Lake County Veterans Affairs Proposal,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",Lake County Veterans Affairs Proposal,,Under Vote Count,,83,71,12,0,83
Lake,"Elk Township, Precinct 5",Lake County Emergency Medical Services Millage Proposal,,Ballots Cast,,738,668,70,0,738
Lake,"Elk Township, Precinct 5",Lake County Emergency Medical Services Millage Proposal,,Yes,,465,423,42,0,465
Lake,"Elk Township, Precinct 5",Lake County Emergency Medical Services Millage Proposal,,No,,192,176,16,0,192
Lake,"Elk Township, Precinct 5",Lake County Emergency Medical Services Millage Proposal,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",Lake County Emergency Medical Services Millage Proposal,,Under Vote Count,,81,69,12,0,81
Lake,"Elk Township, Precinct 5",Baldwin Community School Safety Bond Proposal,,Ballots Cast,,258,233,25,0,258
Lake,"Elk Township, Precinct 5",Baldwin Community School Safety Bond Proposal,,Yes,,121,108,13,0,121
Lake,"Elk Township, Precinct 5",Baldwin Community School Safety Bond Proposal,,No,,110,102,8,0,110
Lake,"Elk Township, Precinct 5",Baldwin Community School Safety Bond Proposal,,Over Vote Count,,0,0,0,0,0
Lake,"Elk Township, Precinct 5",Baldwin Community School Safety Bond Proposal,,Under Vote Count,,27,23,4,0,27
