county,precinct,office,district,candidate,party,election_day,av_counting_boards,early_voting,votes
Isabella,"City of Mt. Pleasant, Precinct 2",Member of the State Board of Education,,Under Votes,,257,237,116,610
Isabella,"City of Mt. Pleasant, Precinct 2",Regent of the University of Michigan,,Denise Ilitch,DEM,516,786,377,1679
Isabella,"City of Mt. Pleasant, Precinct 2",Regent of the University of Michigan,,Shauna Ryder Diggs,DEM,513,772,360,1645
Isabella,"City of Mt. Pleasant, Precinct 2",Regent of the University of Michigan,,Carl Meyers,REP,468,366,299,1133
Isabella,"City of Mt. Pleasant, Precinct 2",Regent of the University of Michigan,,Sevag Vartanian,REP,398,310,252,960
Isabella,"City of Mt. Pleasant, Precinct 2",Regent of the University of Michigan,,Andrew Chadderdon,LIB,53,29,16,98
Isabella,"City of Mt. Pleasant, Precinct 2",Regent of the University of Michigan,,Donna M. Oetman,UST,43,29,16,88
Isabella,"City of Mt. Pleasant, Precinct 2",Regent of the University of Michigan,,Write-ins,,8,3,3,14
Isabella,"City of Mt. Pleasant, Precinct 2",Regent of the University of Michigan,,Over Votes,,0,0,0,0
Isabella,"City of Mt. Pleasant, Precinct 2",Regent of the University of Michigan,,Under Votes,,341,281,153,775
Isabella,"City of Mt. Pleasant, Precinct 2",Trustee of Michigan State University,,Rebecca Bahar-Cook,DEM,516,790,370,1676
Isabella,"City of Mt. Pleasant, Precinct 2",Trustee of Michigan State University,,Thomas Stallworth III,DEM,471,732,339,1542
Isabella,"City of Mt. Pleasant, Precinct 2",Trustee of Michigan State University,,Mike Balow,REP,445,341,284,1070
Isabella,"City of Mt. Pleasant, Precinct 2",Trustee of Michigan State University,,Julie Maday,REP,447,348,273,1068
Isabella,"City of Mt. Pleasant, Precinct 2",Trustee of Michigan State University,,Grant T. Baker,LIB,39,22,16,77
Isabella,"City of Mt. Pleasant, Precinct 2",Trustee of Michigan State University,,Janet M. Sanger,UST,33,20,12,65
Isabella,"City of Mt. Pleasant, Precinct 2",Trustee of Michigan State University,,John Paul Sanger,UST,11,8,7,26
Isabella,"City of Mt. Pleasant, Precinct 2",Trustee of Michigan State University,,John Anthony La Pietra,GRE,31,22,17,70
Isabella,"City of Mt. Pleasant, Precinct 2",Trustee of Michigan State University,,Write-ins,,7,4,2,13
Isabella,"City of Mt. Pleasant, Precinct 2",Trustee of Michigan State University,,Over Votes,,0,0,0,0
Isabella,"City of Mt. Pleasant, Precinct 2",Trustee of Michigan State University,,Under Votes,,340,289,156,785
