county,precinct,office,district,party,candidate,votes,election_day,early,absentee
Grand Traverse,Union Twp Pct 1,U.S. House,1,DEM,DEM Callie Barr,113,91,22,0
Grand Traverse,Whitewater Twp Pct 1,U.S. House,1,DEM,DEM Callie Barr,717,163,81,473
Grand Traverse,Traverse City Pct 1,U.S. House,1,DEM,DEM Callie Barr,1110,304,213,593
Grand Traverse,Traverse City Pct 3,U.S. House,1,DEM,DEM Callie Barr,1107,261,221,625
Grand Traverse,Traverse City Pct 7,U.S. House,1,DEM,DEM Callie Barr,934,298,194,442
Grand Traverse,Traverse City Pct 8,U.S. House,1,DEM,DEM Callie Barr,1063,249,245,569
Grand Traverse,Traverse City Pct 9,U.S. House,1,DEM,DEM Callie Barr,953,245,157,551
Grand Traverse,Traverse City Pct 10,U.S. House,1,DEM,DEM Callie Barr,1051,247,201,603
Grand Traverse,Acme Twp Pct 1,U.S. House,1,LIB,LIB Andrew Gale,36,15,4,17
Grand Traverse,Acme Twp Pct 2,U.S. House,1,LIB,LIB Andrew Gale,15,9,1,5
Grand Traverse,Blair Twp Pct 1,U.S. House,1,LIB,LIB Andrew Gale,16,9,5,2
Grand Traverse,Blair Twp Pct 2,U.S. House,1,LIB,LIB Andrew Gale,40,14,14,12
Grand Traverse,Blair Twp Pct 3,U.S. House,1,LIB,LIB Andrew Gale,19,8,5,6
Grand Traverse,Blair Twp Pct 4,U.S. House,1,LIB,LIB Andrew Gale,19,9,5,5
Grand Traverse,East Bay Twp Pct 1,U.S. House,1,LIB,LIB Andrew Gale,23,11,6,6
Grand Traverse,East Bay Twp Pct 2,U.S. House,1,LIB,LIB Andrew Gale,24,11,6,7
Grand Traverse,East Bay Twp Pct 3,U.S. House,1,LIB,LIB Andrew Gale,15,9,1,5
Grand Traverse,East Bay Twp Pct 4,U.S. House,1,LIB,LIB Andrew Gale,25,14,5,6
Grand Traverse,East Bay Twp Pct 5,U.S. House,1,LIB,LIB Andrew Gale,14,4,3,7
Grand Traverse,Fife Lake Twp Pct 1,U.S. House,1,LIB,LIB Andrew Gale,15,8,5,2
Grand Traverse,Garfield Twp Pct 1,U.S. House,1,LIB,LIB Andrew Gale,32,16,6,10
Grand Traverse,Garfield Twp Pct 2,U.S. House,1,LIB,LIB Andrew Gale,29,11,8,10
Grand Traverse,Garfield Twp Pct 3,U.S. House,1,LIB,LIB Andrew Gale,25,9,5,11
Grand Traverse,Garfield Twp Pct 4,U.S. House,1,LIB,LIB Andrew Gale,28,21,5,2
Grand Traverse,Garfield Twp Pct 5,U.S. House,1,LIB,LIB Andrew Gale,27,9,7,11
Grand Traverse,Garfield Twp Pct 6,U.S. House,1,LIB,LIB Andrew Gale,21,7,5,9
Grand Traverse,Garfield Twp Pct 7,U.S. House,1,LIB,LIB Andrew Gale,31,21,4,6
Grand Traverse,Grant Twp Pct 1,U.S. House,1,LIB,LIB Andrew Gale,15,13,2,0
Grand Traverse,Green Lake Twp Pct 1,U.S. House,1,LIB,LIB Andrew Gale,28,17,5,6
Grand Traverse,Green Lake Twp Pct 2,U.S. House,1,LIB,LIB Andrew Gale,24,14,5,5
Grand Traverse,Green Lake Twp Pct 3,U.S. House,1,LIB,LIB Andrew Gale,11,5,3,3
Grand Traverse,Long Lake Twp Pct 1,U.S. House,1,LIB,LIB Andrew Gale,36,21,3,12
Grand Traverse,Long Lake Twp Pct 2,U.S. House,1,LIB,LIB Andrew Gale,19,6,5,8
Grand Traverse,Long Lake Twp Pct 3,U.S. House,1,LIB,LIB Andrew Gale,31,16,4,11
Grand Traverse,Mayfield Twp Pct 1,U.S. House,1,LIB,LIB Andrew Gale,16,15,1,0
Grand Traverse,Paradise Twp Pct 1,U.S. House,1,LIB,LIB Andrew Gale,38,21,17,0
Grand Traverse,Paradise Twp Pct 2,U.S. House,1,LIB,LIB Andrew Gale,11,8,3,0
Grand Traverse,Peninsula Twp Pct 1,U.S. House,1,LIB,LIB Andrew Gale,26,10,3,13
Grand Traverse,Peninsula Twp Pct 2,U.S. House,1,LIB,LIB Andrew Gale,21,9,5,7
Grand Traverse,Union Twp Pct 1,U.S. House,1,LIB,LIB Andrew Gale,2,2,0,0
Grand Traverse,Whitewater Twp Pct 1,U.S. House,1,LIB,LIB Andrew Gale,26,15,4,7
Grand Traverse,Traverse City Pct 1,U.S. House,1,LIB,LIB Andrew Gale,22,15,4,3
Grand Traverse,Traverse City Pct 3,U.S. House,1,LIB,LIB Andrew Gale,22,13,3,6
Grand Traverse,Traverse City Pct 7,U.S. House,1,LIB,LIB Andrew Gale,31,16,4,11
Grand Traverse,Traverse City Pct 8,U.S. House,1,LIB,LIB Andrew Gale,21,13,2,6
Grand Traverse,Traverse City Pct 9,U.S. House,1,LIB,LIB Andrew Gale,22,8,5,9
Grand Traverse,Traverse City Pct 10,U.S. House,1,LIB,LIB Andrew Gale,27,18,3,6
Grand Traverse,Acme Twp Pct 1,U.S. House,1,WCP,WCP Liz Hakola,24,15,2,7
Grand Traverse,Acme Twp Pct 2,U.S. House,1,WCP,WCP Liz Hakola,12,3,1,8
Grand Traverse,Blair Twp Pct 1,U.S. House,1,WCP,WCP Liz Hakola,31,10,11,10
Grand Traverse,Blair Twp Pct 2,U.S. House,1,WCP,WCP Liz Hakola,30,12,7,11
Grand Traverse,Blair Twp Pct 3,U.S. House,1,WCP,WCP Liz Hakola,24,16,5,3
Grand Traverse,Blair Twp Pct 4,U.S. House,1,WCP,WCP Liz Hakola,25,12,7,6
Grand Traverse,East Bay Twp Pct 1,U.S. House,1,WCP,WCP Liz Hakola,24,16,1,7
Grand Traverse,East Bay Twp Pct 2,U.S. House,1,WCP,WCP Liz Hakola,19,8,3,8
Grand Traverse,East Bay Twp Pct 3,U.S. House,1,WCP,WCP Liz Hakola,8,4,1,3
Grand Traverse,East Bay Twp Pct 4,U.S. House,1,WCP,WCP Liz Hakola,24,8,8,8
Grand Traverse,East Bay Twp Pct 5,U.S. House,1,WCP,WCP Liz Hakola,15,9,3,3
Grand Traverse,Fife Lake Twp Pct 1,U.S. House,1,WCP,WCP Liz Hakola,15,8,5,2
Grand Traverse,Garfield Twp Pct 1,U.S. House,1,WCP,WCP Liz Hakola,35,21,7,7
Grand Traverse,Garfield Twp Pct 2,U.S. House,1,WCP,WCP Liz Hakola,20,8,6,6
Grand Traverse,Garfield Twp Pct 3,U.S. House,1,WCP,WCP Liz Hakola,33,14,8,11
Grand Traverse,Garfield Twp Pct 4,U.S. House,1,WCP,WCP Liz Hakola,42,15,11,16
Grand Traverse,Garfield Twp Pct 5,U.S. House,1,WCP,WCP Liz Hakola,16,11,1,4
Grand Traverse,Garfield Twp Pct 6,U.S. House,1,WCP,WCP Liz Hakola,21,13,2,6
Grand Traverse,Garfield Twp Pct 7,U.S. House,1,WCP,WCP Liz Hakola,34,17,10,7
Grand Traverse,Grant Twp Pct 1,U.S. House,1,WCP,WCP Liz Hakola,12,10,2,0
Grand Traverse,Green Lake Twp Pct 1,U.S. House,1,WCP,WCP Liz Hakola,17,9,3,5
Grand Traverse,Green Lake Twp Pct 2,U.S. House,1,WCP,WCP Liz Hakola,25,10,8,7
Grand Traverse,Green Lake Twp Pct 3,U.S. House,1,WCP,WCP Liz Hakola,16,5,6,5
Grand Traverse,Long Lake Twp Pct 1,U.S. House,1,WCP,WCP Liz Hakola,28,16,1,11
Grand Traverse,Long Lake Twp Pct 2,U.S. House,1,WCP,WCP Liz Hakola,21,11,5,5
Grand Traverse,Long Lake Twp Pct 3,U.S. House,1,WCP,WCP Liz Hakola,24,9,6,9
Grand Traverse,Mayfield Twp Pct 1,U.S. House,1,WCP,WCP Liz Hakola,25,24,1,0
Grand Traverse,Paradise Twp Pct 1,U.S. House,1,WCP,WCP Liz Hakola,27,18,9,0
Grand Traverse,Paradise Twp Pct 2,U.S. House,1,WCP,WCP Liz Hakola,21,11,10,0
Grand Traverse,Peninsula Twp Pct 1,U.S. House,1,WCP,WCP Liz Hakola,8,3,0,5
Grand Traverse,Peninsula Twp Pct 2,U.S. House,1,WCP,WCP Liz Hakola,7,4,1,2
Grand Traverse,Union Twp Pct 1,U.S. House,1,WCP,WCP Liz Hakola,6,5,1,0
Grand Traverse,Whitewater Twp Pct 1,U.S. House,1,WCP,WCP Liz Hakola,18,8,0,10
Grand Traverse,Traverse City Pct 1,U.S. House,1,WCP,WCP Liz Hakola,13,7,4,2
Grand Traverse,Traverse City Pct 3,U.S. House,1,WCP,WCP Liz Hakola,8,4,0,4
Grand Traverse,Traverse City Pct 7,U.S. House,1,WCP,WCP Liz Hakola,31,22,2,7
Grand Traverse,Traverse City Pct 8,U.S. House,1,WCP,WCP Liz Hakola,14,6,4,4
Grand Traverse,Traverse City Pct 9,U.S. House,1,WCP,WCP Liz Hakola,13,5,2,6
Grand Traverse,Traverse City Pct 10,U.S. House,1,WCP,WCP Liz Hakola,29,13,9,7
Grand Traverse,Acme Twp Pct 1,U.S. House,1,NON,Write-in,1,1,0,0
Grand Traverse,Acme Twp Pct 2,U.S. House,1,NON,Write-in,1,1,0,0
Grand Traverse,Blair Twp Pct 1,U.S. House,1,NON,Write-in,1,1,0,0
Grand Traverse,Blair Twp Pct 2,U.S. House,1,NON,Write-in,1,1,0,0
Grand Traverse,Blair Twp Pct 3,U.S. House,1,NON,Write-in,1,1,0,0
Grand Traverse,Blair Twp Pct 4,U.S. House,1,NON,Write-in,2,2,0,0
Grand Traverse,East Bay Twp Pct 1,U.S. House,1,NON,Write-in,1,1,0,0
Grand Traverse,East Bay Twp Pct 2,U.S. House,1,NON,Write-in,2,1,0,1
Grand Traverse,East Bay Twp Pct 3,U.S. House,1,NON,Write-in,0,0,0,0
Grand Traverse,East Bay Twp Pct 4,U.S. House,1,NON,Write-in,1,0,1,0
Grand Traverse,East Bay Twp Pct 5,U.S. House,1,NON,Write-in,2,2,0,0
Grand Traverse,Fife Lake Twp Pct 1,U.S. House,1,NON,Write-in,2,1,1,0
Grand Traverse,Garfield Twp Pct 1,U.S. House,1,NON,Write-in,2,1,1,0
Grand Traverse,Garfield Twp Pct 2,U.S. House,1,NON,Write-in,2,1,0,1
Grand Traverse,Garfield Twp Pct 3,U.S. House,1,NON,Write-in,0,0,0,0
Grand Traverse,Garfield Twp Pct 4,U.S. House,1,NON,Write-in,1,0,0,1
Grand Traverse,Garfield Twp Pct 5,U.S. House,1,NON,Write-in,1,1,0,0
Grand Traverse,Garfield Twp Pct 6,U.S. House,1,NON,Write-in,2,1,1,0
Grand Traverse,Garfield Twp Pct 7,U.S. House,1,NON,Write-in,1,1,0,0
Grand Traverse,Grant Twp Pct 1,U.S. House,1,NON,Write-in,1,1,0,0
Grand Traverse,Green Lake Twp Pct 1,U.S. House,1,NON,Write-in,3,2,0,1
Grand Traverse,Green Lake Twp Pct 2,U.S. House,1,NON,Write-in,1,1,0,0
Grand Traverse,Green Lake Twp Pct 3,U.S. House,1,NON,Write-in,1,1,0,0
Grand Traverse,Long Lake Twp Pct 1,U.S. House,1,NON,Write-in,3,2,1,0
Grand Traverse,Long Lake Twp Pct 2,U.S. House,1,NON,Write-in,3,2,1,0
Grand Traverse,Long Lake Twp Pct 3,U.S. House,1,NON,Write-in,1,1,0,0
Grand Traverse,Mayfield Twp Pct 1,U.S. House,1,NON,Write-in,1,0,1,0
Grand Traverse,Paradise Twp Pct 1,U.S. House,1,NON,Write-in,1,1,0,0
Grand Traverse,Paradise Twp Pct 2,U.S. House,1,NON,Write-in,0,0,0,0
Grand Traverse,Peninsula Twp Pct 1,U.S. House,1,NON,Write-in,2,2,0,0
Grand Traverse,Peninsula Twp Pct 2,U.S. House,1,NON,Write-in,0,0,0,0
Grand Traverse,Union Twp Pct 1,U.S. House,1,NON,Write-in,0,0,0,0
Grand Traverse,Whitewater Twp Pct 1,U.S. House,1,NON,Write-in,3,3,0,0
Grand Traverse,Traverse City Pct 1,U.S. House,1,NON,Write-in,1,0,0,1
Grand Traverse,Traverse City Pct 3,U.S. House,1,NON,Write-in,0,0,0,0
Grand Traverse,Traverse City Pct 7,U.S. House,1,NON,Write-in,1,1,0,0
Grand Traverse,Traverse City Pct 8,U.S. House,1,NON,Write-in,0,0,0,0
Grand Traverse,Traverse City Pct 9,U.S. House,1,NON,Write-in,1,1,0,0
Grand Traverse,Traverse City Pct 10,U.S. House,1,NON,Write-in,4,3,0,1
Grand Traverse,Acme Twp Pct 1,State House,103,DEM,DEM Betsy Coffia,964,211,175,578
Grand Traverse,Acme Twp Pct 2,State House,103,DEM,DEM Betsy Coffia,538,109,70,359
Grand Traverse,East Bay Twp Pct 1,State House,103,DEM,DEM Betsy Coffia,778,186,146,446
Grand Traverse,East Bay Twp Pct 2,State House,103,DEM,DEM Betsy Coffia,720,151,136,433
Grand Traverse,East Bay Twp Pct 3,State House,103,DEM,DEM Betsy Coffia,669,140,95,434
Grand Traverse,East Bay Twp Pct 4,State House,103,DEM,DEM Betsy Coffia,878,169,182,527
Grand Traverse,East Bay Twp Pct 5,State House,103,DEM,DEM Betsy Coffia,671,152,133,386
Grand Traverse,Garfield Twp Pct 1,State House,103,DEM,DEM Betsy Coffia,910,239,198,473
Grand Traverse,Garfield Twp Pct 2,State House,103,DEM,DEM Betsy Coffia,1008,137,228,643
Grand Traverse,Garfield Twp Pct 3,State House,103,DEM,DEM Betsy Coffia,673,201,155,317
Grand Traverse,Garfield Twp Pct 4,State House,103,DEM,DEM Betsy Coffia,861,196,189,476
Grand Traverse,Garfield Twp Pct 5,State House,103,DEM,DEM Betsy Coffia,1200,219,222,759
Grand Traverse,Garfield Twp Pct 6,State House,103,DEM,DEM Betsy Coffia,851,207,156,488
Grand Traverse,Garfield Twp Pct 7,State House,103,DEM,DEM Betsy Coffia,631,243,142,246
Grand Traverse,Long Lake Twp Pct 1,State House,103,DEM,DEM Betsy Coffia,1066,302,168,596
Grand Traverse,Long Lake Twp Pct 2,State House,103,DEM,DEM Betsy Coffia,905,214,160,531
Grand Traverse,Long Lake Twp Pct 3,State House,103,DEM,DEM Betsy Coffia,1117,259,121,737
Grand Traverse,Peninsula Twp Pct 1,State House,103,DEM,DEM Betsy Coffia,1234,243,85,906
Grand Traverse,Peninsula Twp Pct 2,State House,103,DEM,DEM Betsy Coffia,1269,201,112,956
Grand Traverse,Traverse City Pct 1,State House,103,DEM,DEM Betsy Coffia,1128,315,220,593
Grand Traverse,Traverse City Pct 3,State House,103,DEM,DEM Betsy Coffia,1111,262,223,626
Grand Traverse,Traverse City Pct 7,State House,103,DEM,DEM Betsy Coffia,980,335,197,448
Grand Traverse,Traverse City Pct 8,State House,103,DEM,DEM Betsy Coffia,1061,256,241,564
Grand Traverse,Traverse City Pct 9,State House,103,DEM,DEM Betsy Coffia,966,242,164,560
Grand Traverse,Traverse City Pct 10,State House,103,DEM,DEM Betsy Coffia,1083,264,206,613
Grand Traverse,Acme Twp Pct 1,State House,103,REP,REP Lisa Trombley,991,294,274,423
Grand Traverse,Acme Twp Pct 2,State House,103,REP,REP Lisa Trombley,643,189,132,322
Grand Traverse,East Bay Twp Pct 1,State House,103,REP,REP Lisa Trombley,828,234,253,341
Grand Traverse,East Bay Twp Pct 2,State House,103,REP,REP Lisa Trombley,960,295,293,372
Grand Traverse,East Bay Twp Pct 3,State House,103,REP,REP Lisa Trombley,743,221,196,326
Grand Traverse,East Bay Twp Pct 4,State House,103,REP,REP Lisa Trombley,853,205,290,358
Grand Traverse,East Bay Twp Pct 5,State House,103,REP,REP Lisa Trombley,913,268,312,333
Grand Traverse,Garfield Twp Pct 1,State House,103,REP,REP Lisa Trombley,1032,323,341,368
Grand Traverse,Garfield Twp Pct 2,State House,103,REP,REP Lisa Trombley,981,203,321,457
Grand Traverse,Garfield Twp Pct 3,State House,103,REP,REP Lisa Trombley,592,216,192,184
Grand Traverse,Garfield Twp Pct 4,State House,103,REP,REP Lisa Trombley,644,187,225,232
Grand Traverse,Garfield Twp Pct 5,State House,103,REP,REP Lisa Trombley,1072,276,314,482
Grand Traverse,Garfield Twp Pct 6,State House,103,REP,REP Lisa Trombley,861,253,273,335
Grand Traverse,Garfield Twp Pct 7,State House,103,REP,REP Lisa Trombley,572,291,163,118
Grand Traverse,Long Lake Twp Pct 1,State House,103,REP,REP Lisa Trombley,1012,379,249,384
Grand Traverse,Long Lake Twp Pct 2,State House,103,REP,REP Lisa Trombley,1171,391,305,475
Grand Traverse,Long Lake Twp Pct 3,State House,103,REP,REP Lisa Trombley,1469,457,384,628
Grand Traverse,Peninsula Twp Pct 1,State House,103,REP,REP Lisa Trombley,1174,331,162,681
Grand Traverse,Peninsula Twp Pct 2,State House,103,REP,REP Lisa Trombley,1087,265,188,634
Grand Traverse,Traverse City Pct 1,State House,103,REP,REP Lisa Trombley,600,214,136,250
Grand Traverse,Traverse City Pct 3,State House,103,REP,REP Lisa Trombley,467,150,116,201
Grand Traverse,Traverse City Pct 7,State House,103,REP,REP Lisa Trombley,541,222,145,174
Grand Traverse,Traverse City Pct 8,State House,103,REP,REP Lisa Trombley,486,159,157,170
Grand Traverse,Traverse City Pct 9,State House,103,REP,REP Lisa Trombley,571,203,128,240
Grand Traverse,Traverse City Pct 10,State House,103,REP,REP Lisa Trombley,622,221,181,220
Grand Traverse,Acme Twp Pct 1,State House,103,NON,Write-in,4,3,0,1
Grand Traverse,Acme Twp Pct 2,State House,103,NON,Write-in,3,1,0,2
Grand Traverse,East Bay Twp Pct 1,State House,103,NON,Write-in,7,3,0,4
Grand Traverse,East Bay Twp Pct 2,State House,103,NON,Write-in,10,4,1,5
Grand Traverse,East Bay Twp Pct 3,State House,103,NON,Write-in,2,1,1,0
Grand Traverse,East Bay Twp Pct 4,State House,103,NON,Write-in,5,2,2,1
Grand Traverse,East Bay Twp Pct 5,State House,103,NON,Write-in,7,2,3,2
Grand Traverse,Garfield Twp Pct 1,State House,103,NON,Write-in,7,4,2,1
Grand Traverse,Garfield Twp Pct 2,State House,103,NON,Write-in,4,1,2,1
Grand Traverse,Garfield Twp Pct 3,State House,103,NON,Write-in,4,2,0,2
Grand Traverse,Garfield Twp Pct 4,State House,103,NON,Write-in,8,3,3,2
Grand Traverse,Garfield Twp Pct 5,State House,103,NON,Write-in,5,2,1,2
Grand Traverse,Garfield Twp Pct 6,State House,103,NON,Write-in,3,2,1,0
Grand Traverse,Garfield Twp Pct 7,State House,103,NON,Write-in,5,3,0,2
Grand Traverse,Long Lake Twp Pct 1,State House,103,NON,Write-in,5,2,0,3
Grand Traverse,Long Lake Twp Pct 2,State House,103,NON,Write-in,6,3,2,1
Grand Traverse,Long Lake Twp Pct 3,State House,103,NON,Write-in,5,3,1,1
Grand Traverse,Peninsula Twp Pct 1,State House,103,NON,Write-in,1,1,0,0
Grand Traverse,Peninsula Twp Pct 2,State House,103,NON,Write-in,0,0,0,0
Grand Traverse,Traverse City Pct 1,State House,103,NON,Write-in,4,2,1,1
Grand Traverse,Traverse City Pct 3,State House,103,NON,Write-in,0,0,0,0
Grand Traverse,Traverse City Pct 7,State House,103,NON,Write-in,3,3,0,0
Grand Traverse,Traverse City Pct 8,State House,103,NON,Write-in,0,0,0,0
Grand Traverse,Traverse City Pct 9,State House,103,NON,Write-in,4,0,3,1
Grand Traverse,Traverse City Pct 10,State House,103,NON,Write-in,4,4,0,0
Grand Traverse,Blair Twp Pct 1,State House,104,REP,REP John R. Roth,628,236,235,157
Grand Traverse,Blair Twp Pct 2,State House,104,REP,REP John R. Roth,1146,319,451,376
Grand Traverse,Blair Twp Pct 3,State House,104,REP,REP John R. Roth,679,212,248,219
Grand Traverse,Blair Twp Pct 4,State House,104,REP,REP John R. Roth,684,262,260,162
Grand Traverse,Fife Lake Twp Pct 1,State House,104,REP,REP John R. Roth,722,236,303,183
Grand Traverse,Grant Twp Pct 1,State House,104,REP,REP John R. Roth,603,405,198,0
Grand Traverse,Green Lake Twp Pct 1,State House,104,REP,REP John R. Roth,1018,308,390,320
Grand Traverse,Green Lake Twp Pct 2,State House,104,REP,REP John R. Roth,823,258,350,215
Grand Traverse,Green Lake Twp Pct 3,State House,104,REP,REP John R. Roth,599,194,220,185
Grand Traverse,Mayfield Twp Pct 1,State House,104,REP,REP John R. Roth,766,594,172,0
Grand Traverse,Paradise Twp Pct 1,State House,104,REP,REP John R. Roth,1084,593,491,0
Grand Traverse,Paradise Twp Pct 2,State House,104,REP,REP John R. Roth,819,446,373,0
Grand Traverse,Union Twp Pct 1,State House,104,REP,REP John R. Roth,242,200,42,0
Grand Traverse,Whitewater Twp Pct 1,State House,104,REP,REP John R. Roth,1227,413,253,561
Grand Traverse,Blair Twp Pct 1,State House,104,DEM,DEM Larry Knight,296,105,65,126
Grand Traverse,Blair Twp Pct 2,State House,104,DEM,DEM Larry Knight,492,98,109,285
Grand Traverse,Blair Twp Pct 3,State House,104,DEM,DEM Larry Knight,425,108,105,212
Grand Traverse,Blair Twp Pct 4,State House,104,DEM,DEM Larry Knight,384,150,80,154
Grand Traverse,Fife Lake Twp Pct 1,State House,104,DEM,DEM Larry Knight,237,47,89,101
Grand Traverse,Grant Twp Pct 1,State House,104,DEM,DEM Larry Knight,166,132,34,0
Grand Traverse,Green Lake Twp Pct 1,State House,104,DEM,DEM Larry Knight,559,113,124,322
Grand Traverse,Green Lake Twp Pct 2,State House,104,DEM,DEM Larry Knight,534,146,120,268
Grand Traverse,Green Lake Twp Pct 3,State House,104,DEM,DEM Larry Knight,395,89,89,217
Grand Traverse,Mayfield Twp Pct 1,State House,104,DEM,DEM Larry Knight,245,211,34,0
Grand Traverse,Paradise Twp Pct 1,State House,104,DEM,DEM Larry Knight,435,314,121,0
Grand Traverse,Paradise Twp Pct 2,State House,104,DEM,DEM Larry Knight,364,271,93,0
Grand Traverse,Union Twp Pct 1,State House,104,DEM,DEM Larry Knight,98,79,19,0
Grand Traverse,Whitewater Twp Pct 1,State House,104,DEM,DEM Larry Knight,576,126,68,382
Grand Traverse,Blair Twp Pct 1,State House,104,NON,Cathy Albro,42,13,12,17
Grand Traverse,Blair Twp Pct 2,State House,104,NON,Cathy Albro,70,9,18,43
Grand Traverse,Blair Twp Pct 3,State House,104,NON,Cathy Albro,40,10,8,22
Grand Traverse,Blair Twp Pct 4,State House,104,NON,Cathy Albro,33,10,7,16
Grand Traverse,Fife Lake Twp Pct 1,State House,104,NON,Cathy Albro,31,8,13,10
Grand Traverse,Grant Twp Pct 1,State House,104,NON,Cathy Albro,35,28,7,0
Grand Traverse,Green Lake Twp Pct 1,State House,104,NON,Cathy Albro,85,17,26,42
Grand Traverse,Green Lake Twp Pct 2,State House,104,NON,Cathy Albro,39,8,14,17
Grand Traverse,Green Lake Twp Pct 3,State House,104,NON,Cathy Albro,59,10,14,35
Grand Traverse,Mayfield Twp Pct 1,State House,104,NON,Cathy Albro,26,23,3,0
Grand Traverse,Paradise Twp Pct 1,State House,104,NON,Cathy Albro,39,27,12,0
Grand Traverse,Paradise Twp Pct 2,State House,104,NON,Cathy Albro,26,23,3,0
Grand Traverse,Union Twp Pct 1,State House,104,NON,Cathy Albro,7,5,2,0
Grand Traverse,Whitewater Twp Pct 1,State House,104,NON,Cathy Albro,74,15,6,53
Grand Traverse,Blair Twp Pct 1,State House,104,LIB,LIB Tyler Glenn Lautner,30,15,11,4
Grand Traverse,Blair Twp Pct 2,State House,104,LIB,LIB Tyler Glenn Lautner,47,22,12,13
Grand Traverse,Blair Twp Pct 3,State House,104,LIB,LIB Tyler Glenn Lautner,33,9,14,10
Grand Traverse,Blair Twp Pct 4,State House,104,LIB,LIB Tyler Glenn Lautner,37,18,8,11
Grand Traverse,Fife Lake Twp Pct 1,State House,104,LIB,LIB Tyler Glenn Lautner,24,8,10,6
Grand Traverse,Grant Twp Pct 1,State House,104,LIB,LIB Tyler Glenn Lautner,21,12,9,0
Grand Traverse,Green Lake Twp Pct 1,State House,104,LIB,LIB Tyler Glenn Lautner,47,27,10,10
Grand Traverse,Green Lake Twp Pct 2,State House,104,LIB,LIB Tyler Glenn Lautner,42,19,13,10
Grand Traverse,Green Lake Twp Pct 3,State House,104,LIB,LIB Tyler Glenn Lautner,22,11,6,5
Grand Traverse,Mayfield Twp Pct 1,State House,104,LIB,LIB Tyler Glenn Lautner,33,31,2,0
Grand Traverse,Paradise Twp Pct 1,State House,104,LIB,LIB Tyler Glenn Lautner,49,31,18,0
Grand Traverse,Paradise Twp Pct 2,State House,104,LIB,LIB Tyler Glenn Lautner,36,23,13,0
Grand Traverse,Union Twp Pct 1,State House,104,LIB,LIB Tyler Glenn Lautner,4,2,2,0
Grand Traverse,Whitewater Twp Pct 1,State House,104,LIB,LIB Tyler Glenn Lautner,35,21,4,10
Grand Traverse,Blair Twp Pct 1,State House,104,NON,Write-in,1,1,0,0
Grand Traverse,Blair Twp Pct 2,State House,104,NON,Write-in,1,0,1,0
Grand Traverse,Blair Twp Pct 3,State House,104,NON,Write-in,2,1,1,0
Grand Traverse,Blair Twp Pct 4,State House,104,NON,Write-in,3,3,0,0
Grand Traverse,Fife Lake Twp Pct 1,State House,104,NON,Write-in,2,1,1,0
Grand Traverse,Grant Twp Pct 1,State House,104,NON,Write-in,1,1,0,0
Grand Traverse,Green Lake Twp Pct 1,State House,104,NON,Write-in,3,3,0,0
Grand Traverse,Green Lake Twp Pct 2,State House,104,NON,Write-in,3,2,1,0
Grand Traverse,Green Lake Twp Pct 3,State House,104,NON,Write-in,2,2,0,0
Grand Traverse,Mayfield Twp Pct 1,State House,104,NON,Write-in,2,0,2,0
Grand Traverse,Paradise Twp Pct 1,State House,104,NON,Write-in,2,2,0,0
Grand Traverse,Paradise Twp Pct 2,State House,104,NON,Write-in,1,1,0,0
Grand Traverse,Union Twp Pct 1,State House,104,NON,Write-in,0,0,0,0
Grand Traverse,Whitewater Twp Pct 1,State House,104,NON,Write-in,3,3,0,0
Grand Traverse,Acme Twp Pct 1,Member of the State Board of Education,,REP,REP Nikki Snyder,905,245,256,404
Grand Traverse,Acme Twp Pct 2,Member of the State Board of Education,,REP,REP Nikki Snyder,604,170,123,311
Grand Traverse,Blair Twp Pct 1,Member of the State Board of Education,,REP,REP Nikki Snyder,576,217,220,139
Grand Traverse,Blair Twp Pct 2,Member of the State Board of Education,,REP,REP Nikki Snyder,1041,287,417,337
Grand Traverse,Blair Twp Pct 3,Member of the State Board of Education,,REP,REP Nikki Snyder,619,194,236,189
Grand Traverse,Blair Twp Pct 4,Member of the State Board of Education,,REP,REP Nikki Snyder,611,235,235,141
Grand Traverse,East Bay Twp Pct 1,Member of the State Board of Education,,REP,REP Nikki Snyder,751,192,239,320
Grand Traverse,East Bay Twp Pct 2,Member of the State Board of Education,,REP,REP Nikki Snyder,864,261,270,333
Grand Traverse,East Bay Twp Pct 3,Member of the State Board of Education,,REP,REP Nikki Snyder,669,193,178,298
Grand Traverse,East Bay Twp Pct 4,Member of the State Board of Education,,REP,REP Nikki Snyder,767,166,260,341
Grand Traverse,East Bay Twp Pct 5,Member of the State Board of Education,,REP,REP Nikki Snyder,814,231,284,299
Grand Traverse,Fife Lake Twp Pct 1,Member of the State Board of Education,,REP,REP Nikki Snyder,644,204,279,161
Grand Traverse,Garfield Twp Pct 1,Member of the State Board of Education,,REP,REP Nikki Snyder,935,267,316,352
Grand Traverse,Garfield Twp Pct 2,Member of the State Board of Education,,REP,REP Nikki Snyder,902,177,296,429
Grand Traverse,Garfield Twp Pct 3,Member of the State Board of Education,,REP,REP Nikki Snyder,535,193,171,171
Grand Traverse,Garfield Twp Pct 4,Member of the State Board of Education,,REP,REP Nikki Snyder,580,150,204,226
Grand Traverse,Garfield Twp Pct 5,Member of the State Board of Education,,REP,REP Nikki Snyder,1005,242,292,471
Grand Traverse,Garfield Twp Pct 6,Member of the State Board of Education,,REP,REP Nikki Snyder,790,220,256,314
