county,precinct,offfice,district,party,candidate,votes,election_day,absentee,early_voting
Emmet,City of Harbor Springs Precinct 1,Council Member At Large City of Harbor Springs,,,Jamie Melke,430,370,0,60
Emmet,City of Harbor Springs Precinct 1,Council Member At Large City of Harbor Springs,,,Wendy Reeve,420,333,0,87
Emmet,City of Harbor Springs Precinct 1,Council Member At Large City of Harbor Springs,,,Write-ins,7,6,0,1
Emmet,City of Harbor Springs Precinct 1,Council Member At Large City of Harbor Springs,,,Overvotes,4,4,0,0
Emmet,City of Harbor Springs Precinct 1,Council Member At Large City of Harbor Springs,,,Undervotes,409,330,0,79
Emmet,City of Harbor Springs Precinct 1,Local School District Board Member Harbor Springs Public Schools,,,Margo H. Damoose,420,338,0,82
Emmet,City of Harbor Springs Precinct 1,Local School District Board Member Harbor Springs Public Schools,,,Paul Fairbairn,466,372,0,94
Emmet,City of Harbor Springs Precinct 1,Local School District Board Member Harbor Springs Public Schools,,,Charlie Hollerith,444,367,0,77
Emmet,City of Harbor Springs Precinct 1,Local School District Board Member Harbor Springs Public Schools,,,Tina J. Honeysette,438,364,0,74
Emmet,City of Harbor Springs Precinct 1,Local School District Board Member Harbor Springs Public Schools,,,Audrey Lustgarten,396,332,0,64
Emmet,City of Harbor Springs Precinct 1,Local School District Board Member Harbor Springs Public Schools,,,Write-ins,16,14,0,2
Emmet,City of Harbor Springs Precinct 1,Local School District Board Member Harbor Springs Public Schools,,,Overvotes,0,0,0,0
Emmet,City of Harbor Springs Precinct 1,Local School District Board Member Harbor Springs Public Schools,,,Undervotes,1556,1293,0,263
Emmet,City of Harbor Springs Precinct 1,Repeal of Ordinance 439 Zoning Code City of Harbor Springs,,,Yes,478,386,0,92
Emmet,City of Harbor Springs Precinct 1,Repeal of Ordinance 439 Zoning Code City of Harbor Springs,,,No,405,339,0,66
Emmet,City of Harbor Springs Precinct 1,Repeal of Ordinance 439 Zoning Code City of Harbor Springs,,,Overvotes,0,0,0,0
Emmet,City of Harbor Springs Precinct 1,Repeal of Ordinance 439 Zoning Code City of Harbor Springs,,,Undervotes,52,46,0,6
Emmet,City of Harbor Springs Precinct 1,OPERATING MILLAGE RENEWAL PROPOSAL Harbor Springs Public Schools,,,Yes,517,426,0,91
Emmet,City of Harbor Springs Precinct 1,OPERATING MILLAGE RENEWAL PROPOSAL Harbor Springs Public Schools,,,No,346,283,0,63
Emmet,City of Harbor Springs Precinct 1,OPERATING MILLAGE RENEWAL PROPOSAL Harbor Springs Public Schools,,,Overvotes,1,1,0,0
Emmet,City of Harbor Springs Precinct 1,OPERATING MILLAGE RENEWAL PROPOSAL Harbor Springs Public Schools,,,Undervotes,71,61,0,10
Emmet,City of Harbor Springs Precinct 1,SINKING FUND MILLAGE RENEWAL PROPOSAL Harbor Springs Public Schools,,,Yes,464,382,0,82
Emmet,City of Harbor Springs Precinct 1,SINKING FUND MILLAGE RENEWAL PROPOSAL Harbor Springs Public Schools,,,No,394,322,0,72
Emmet,City of Harbor Springs Precinct 1,SINKING FUND MILLAGE RENEWAL PROPOSAL Harbor Springs Public Schools,,,Overvotes,0,0,0,0
Emmet,City of Harbor Springs Precinct 1,SINKING FUND MILLAGE RENEWAL PROPOSAL Harbor Springs Public Schools,,,Undervotes,77,67,0,10
Emmet,City of Petoskey Ward 1 Precinct 1,Registered Voters,,,,1110,,,
Emmet,City of Petoskey Ward 1 Precinct 1,Ballots Cast,,,,775,287,378,110
Emmet,City of Petoskey Ward 1 Precinct 1,Ballots Cast - Blank,,,,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Straight Party Ticket,,DEM,Democrat,225,78,120,27
Emmet,City of Petoskey Ward 1 Precinct 1,Straight Party Ticket,,REP,Republican,181,63,81,37
Emmet,City of Petoskey Ward 1 Precinct 1,Straight Party Ticket,,LIB,Libertarian,1,1,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Straight Party Ticket,,UST,U.S. Taxpayers,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Straight Party Ticket,,GRN,Green,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Straight Party Ticket,,WCP,Working Class,3,2,1,0
Emmet,City of Petoskey Ward 1 Precinct 1,Straight Party Ticket,,NLP,Natural Law,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Straight Party Ticket,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Straight Party Ticket,,,Undervotes,363,143,174,46
Emmet,City of Petoskey Ward 1 Precinct 1,President,,DEM,Kamala D. Harris,471,165,255,51
Emmet,City of Petoskey Ward 1 Precinct 1,President,,REP,Donald J. Trump,286,116,112,58
Emmet,City of Petoskey Ward 1 Precinct 1,President,,LIB,Chase Oliver,2,1,1,0
Emmet,City of Petoskey Ward 1 Precinct 1,President,,UST,Randall Terry,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,President,,GRN,Jill Stein,3,1,2,0
Emmet,City of Petoskey Ward 1 Precinct 1,President,,NLP,"NLP Robert F. Kennedy, Jr.",3,1,2,0
Emmet,City of Petoskey Ward 1 Precinct 1,President,,NPA,NPA Joseph Kishore,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,President,,NPA,NPA Cornel West,1,0,0,1
Emmet,City of Petoskey Ward 1 Precinct 1,President,,,Write-ins,4,1,3,0
Emmet,City of Petoskey Ward 1 Precinct 1,President,,,Write-In: Peter Sonski,1,0,1,0
Emmet,City of Petoskey Ward 1 Precinct 1,President,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,President,,,Undervotes,5,2,3,0
Emmet,City of Petoskey Ward 1 Precinct 1,U.S. Senate,,DEM,Elissa Slotkin,456,154,249,53
Emmet,City of Petoskey Ward 1 Precinct 1,U.S. Senate,,REP,Mike Rogers,292,118,121,53
Emmet,City of Petoskey Ward 1 Precinct 1,U.S. Senate,,LIB,Joseph Solis-Mullen,8,7,1,0
Emmet,City of Petoskey Ward 1 Precinct 1,U.S. Senate,,UST,Dave Stein,1,1,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,U.S. Senate,,GRN,Douglas P. Marsh,4,1,2,1
Emmet,City of Petoskey Ward 1 Precinct 1,U.S. Senate,,NLP,Doug Dern,1,0,1,0
Emmet,City of Petoskey Ward 1 Precinct 1,U.S. Senate,,,Write-ins,1,1,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,U.S. Senate,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,U.S. Senate,,,Undervotes,12,5,4,3
Emmet,City of Petoskey Ward 1 Precinct 1,U.S. House,,DEM,Callie Barr,442,148,241,53
Emmet,City of Petoskey Ward 1 Precinct 1,U.S. House,,REP,Jack Bergman,300,117,126,57
Emmet,City of Petoskey Ward 1 Precinct 1,U.S. House,,LIB,Andrew Gale,12,9,3,0
Emmet,City of Petoskey Ward 1 Precinct 1,U.S. House,,WCP,Liz Hakola,10,7,3,0
Emmet,City of Petoskey Ward 1 Precinct 1,U.S. House,,,Write-ins,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,U.S. House,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,U.S. House,,,Undervotes,11,6,5,0
Emmet,City of Petoskey Ward 1 Precinct 1,State House,,DEM,Jodi Decker,426,153,224,49
Emmet,City of Petoskey Ward 1 Precinct 1,State House,,REP,Parker Fairbairn,333,124,149,60
Emmet,City of Petoskey Ward 1 Precinct 1,State House,,,Write-ins,2,2,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,State House,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,State House,,,Undervotes,14,8,5,1
Emmet,City of Petoskey Ward 1 Precinct 1,Member of the State Board of Education State,,DEM,Theodore Jones,404,137,218,49
Emmet,City of Petoskey Ward 1 Precinct 1,Member of the State Board of Education State,,DEM,Adam Frederick Zemke,383,131,205,47
Emmet,City of Petoskey Ward 1 Precinct 1,Member of the State Board of Education State,,REP,Tom McMillin,286,104,124,58
Emmet,City of Petoskey Ward 1 Precinct 1,Member of the State Board of Education State,,REP,Nikki Snyder,288,109,125,54
Emmet,City of Petoskey Ward 1 Precinct 1,Member of the State Board of Education State,,LIB,Scotty Boman,26,14,9,3
Emmet,City of Petoskey Ward 1 Precinct 1,Member of the State Board of Education State,,UST,Ted Gerrard,5,4,1,0
Emmet,City of Petoskey Ward 1 Precinct 1,Member of the State Board of Education State,,UST,Christine C. Schwartz,5,3,2,0
Emmet,City of Petoskey Ward 1 Precinct 1,Member of the State Board of Education State,,WCP,Mary Anne Hering,36,15,20,1
Emmet,City of Petoskey Ward 1 Precinct 1,Member of the State Board of Education State,,,Write-ins,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Member of the State Board of Education State,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Member of the State Board of Education State,,,Undervotes,117,57,52,8
Emmet,City of Petoskey Ward 1 Precinct 1,Regent of the University of Michigan State,,DEM,Shauna Ryder Diggs,393,132,215,46
Emmet,City of Petoskey Ward 1 Precinct 1,Regent of the University of Michigan State,,DEM,Denise Ilitch,397,136,212,49
Emmet,City of Petoskey Ward 1 Precinct 1,Regent of the University of Michigan State,,REP,Carl Meyers,305,111,134,60
Emmet,City of Petoskey Ward 1 Precinct 1,Regent of the University of Michigan State,,REP,Sevag Vartanian,266,95,118,53
Emmet,City of Petoskey Ward 1 Precinct 1,Regent of the University of Michigan State,,LIB,Andrew Chadderdon,23,15,5,3
Emmet,City of Petoskey Ward 1 Precinct 1,Regent of the University of Michigan State,,UST,Donna M. Oetman,12,7,5,0
Emmet,City of Petoskey Ward 1 Precinct 1,Regent of the University of Michigan State,,,Write-ins,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Regent of the University of Michigan State,,,Write-In: Huwaida Arraf,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Regent of the University of Michigan State,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Regent of the University of Michigan State,,,Undervotes,154,78,67,9
Emmet,City of Petoskey Ward 1 Precinct 1,Trustee of Michigan State University State,,DEM,Rebecca Bahar-Cook,400,132,219,49
Emmet,City of Petoskey Ward 1 Precinct 1,Trustee of Michigan State University State,,DEM,Thomas Stallworth III,364,122,196,46
Emmet,City of Petoskey Ward 1 Precinct 1,Trustee of Michigan State University State,,REP,Mike Balow,283,100,127,56
Emmet,City of Petoskey Ward 1 Precinct 1,Trustee of Michigan State University State,,REP,Julie Maday,286,99,131,56
Emmet,City of Petoskey Ward 1 Precinct 1,Trustee of Michigan State University State,,LIB,Grant T. Baker,22,16,3,3
Emmet,City of Petoskey Ward 1 Precinct 1,Trustee of Michigan State University State,,UST,Janet M. Sanger,11,4,7,0
Emmet,City of Petoskey Ward 1 Precinct 1,Trustee of Michigan State University State,,UST,John Paul Sanger,5,3,2,0
Emmet,City of Petoskey Ward 1 Precinct 1,Trustee of Michigan State University State,,GRN,John Anthony La Pietra,16,9,6,1
Emmet,City of Petoskey Ward 1 Precinct 1,Trustee of Michigan State University State,,,Write-ins,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Trustee of Michigan State University State,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Trustee of Michigan State University State,,,Undervotes,163,89,65,9
Emmet,City of Petoskey Ward 1 Precinct 1,Governor of Wayne State University State,,DEM,Rasha Demashkieh,368,124,197,47
Emmet,City of Petoskey Ward 1 Precinct 1,Governor of Wayne State University State,,DEM,Mark T. Gaffney,374,122,205,47
Emmet,City of Petoskey Ward 1 Precinct 1,Governor of Wayne State University State,,REP,Michael Busuito,279,96,128,55
Emmet,City of Petoskey Ward 1 Precinct 1,Governor of Wayne State University State,,REP,Sunny Reddy,268,96,118,54
Emmet,City of Petoskey Ward 1 Precinct 1,Governor of Wayne State University State,,LIB,Farid Ishac,16,12,2,2
Emmet,City of Petoskey Ward 1 Precinct 1,Governor of Wayne State University State,,UST,William Mohr II,9,6,2,1
Emmet,City of Petoskey Ward 1 Precinct 1,Governor of Wayne State University State,,GRN,Sami Makhoul,12,7,5,0
Emmet,City of Petoskey Ward 1 Precinct 1,Governor of Wayne State University State,,WCP,Suzanne Roehrig,25,10,12,3
Emmet,City of Petoskey Ward 1 Precinct 1,Governor of Wayne State University State,,NLP,Kathleen Oakford,11,3,7,1
Emmet,City of Petoskey Ward 1 Precinct 1,Governor of Wayne State University State,,,Write-ins,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Governor of Wayne State University State,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Governor of Wayne State University State,,,Undervotes,188,98,80,10
Emmet,City of Petoskey Ward 1 Precinct 1,Prosecuting Attorney Emmet County,,REP,Michael H. Schuitema,452,177,202,73
Emmet,City of Petoskey Ward 1 Precinct 1,Prosecuting Attorney Emmet County,,,Write-ins,13,8,3,2
Emmet,City of Petoskey Ward 1 Precinct 1,Prosecuting Attorney Emmet County,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Prosecuting Attorney Emmet County,,,Undervotes,310,102,173,35
Emmet,City of Petoskey Ward 1 Precinct 1,Sheriff Emmet County,,REP,Matt Leirstein,461,183,205,73
Emmet,City of Petoskey Ward 1 Precinct 1,Sheriff Emmet County,,,Write-ins,15,6,5,4
Emmet,City of Petoskey Ward 1 Precinct 1,Sheriff Emmet County,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Sheriff Emmet County,,,Undervotes,299,98,168,33
Emmet,City of Petoskey Ward 1 Precinct 1,Clerk Emmet County,,DEM,Elizabeth Lohman,356,134,181,41
Emmet,City of Petoskey Ward 1 Precinct 1,Clerk Emmet County,,REP,Suzanne R. Kanine,390,141,182,67
Emmet,City of Petoskey Ward 1 Precinct 1,Clerk Emmet County,,,Write-ins,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Clerk Emmet County,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Clerk Emmet County,,,Undervotes,29,12,15,2
Emmet,City of Petoskey Ward 1 Precinct 1,Treasurer Emmet County,,REP,Mary Mitchell,451,176,201,74
Emmet,City of Petoskey Ward 1 Precinct 1,Treasurer Emmet County,,,Write-ins,14,8,3,3
Emmet,City of Petoskey Ward 1 Precinct 1,Treasurer Emmet County,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Treasurer Emmet County,,,Undervotes,310,103,174,33
Emmet,City of Petoskey Ward 1 Precinct 1,Register of Deeds Emmet County,,REP,Karen Cosens,452,177,202,73
Emmet,City of Petoskey Ward 1 Precinct 1,Register of Deeds Emmet County,,,Write-ins,13,8,2,3
Emmet,City of Petoskey Ward 1 Precinct 1,Register of Deeds Emmet County,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Register of Deeds Emmet County,,,Undervotes,310,102,174,34
Emmet,City of Petoskey Ward 1 Precinct 1,Drain Commissioner Emmet County,,REP,Arden J. Bawkey,441,170,199,72
Emmet,City of Petoskey Ward 1 Precinct 1,Drain Commissioner Emmet County,,,Write-ins,15,9,3,3
Emmet,City of Petoskey Ward 1 Precinct 1,Drain Commissioner Emmet County,,,Overvotes,1,1,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Drain Commissioner Emmet County,,,Undervotes,318,107,176,35
Emmet,City of Petoskey Ward 1 Precinct 1,County Commissioner County Commissioner District 07,,DEM,Matt Koontz,511,190,251,70
Emmet,City of Petoskey Ward 1 Precinct 1,County Commissioner County Commissioner District 07,,,Write-ins,21,11,9,1
Emmet,City of Petoskey Ward 1 Precinct 1,County Commissioner County Commissioner District 07,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,County Commissioner County Commissioner District 07,,,Undervotes,242,86,117,39
Emmet,City of Petoskey Ward 1 Precinct 1,Justice of Supreme Court Supreme Court,,,Andrew Fink,201,80,83,38
Emmet,City of Petoskey Ward 1 Precinct 1,Justice of Supreme Court Supreme Court,,,Kimberly Ann Thomas,397,131,221,45
Emmet,City of Petoskey Ward 1 Precinct 1,Justice of Supreme Court Supreme Court,,,Write-ins,7,5,2,0
Emmet,City of Petoskey Ward 1 Precinct 1,Justice of Supreme Court Supreme Court,,,Overvotes,2,1,1,0
Emmet,City of Petoskey Ward 1 Precinct 1,Justice of Supreme Court Supreme Court,,,Undervotes,168,70,71,27
Emmet,City of Petoskey Ward 1 Precinct 1,Justice of Supreme Court Supreme Court,special,,Kyra Harris Bolden,422,142,230,50
Emmet,City of Petoskey Ward 1 Precinct 1,Justice of Supreme Court Supreme Court,special,,Patrick William O'Grady,199,75,86,38
Emmet,City of Petoskey Ward 1 Precinct 1,Justice of Supreme Court Supreme Court,special,,Write-ins,11,7,4,0
Emmet,City of Petoskey Ward 1 Precinct 1,Justice of Supreme Court Supreme Court,special,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Justice of Supreme Court Supreme Court,special,,Undervotes,143,63,58,22
Emmet,City of Petoskey Ward 1 Precinct 1,Judge of Court of Appeals 4th District,,,Stephen L. Borrello,424,164,205,55
Emmet,City of Petoskey Ward 1 Precinct 1,Judge of Court of Appeals 4th District,,,Write-ins,13,8,5,0
Emmet,City of Petoskey Ward 1 Precinct 1,Judge of Court of Appeals 4th District,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Judge of Court of Appeals 4th District,,,Undervotes,338,115,168,55
Emmet,City of Petoskey Ward 1 Precinct 1,Judge of Court of Appeals 4th District,,,Allie Greenleaf Maldonado,439,171,211,57
Emmet,City of Petoskey Ward 1 Precinct 1,Judge of Court of Appeals 4th District,,,Write-ins,9,6,3,0
Emmet,City of Petoskey Ward 1 Precinct 1,Judge of Court of Appeals 4th District,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Judge of Court of Appeals 4th District,,,Undervotes,326,110,163,53
Emmet,City of Petoskey Ward 1 Precinct 1,Judge of Circuit Court 57th Circuit,,,Jennifer E. Deegan,471,186,222,63
Emmet,City of Petoskey Ward 1 Precinct 1,Judge of Circuit Court 57th Circuit,,,Write-ins,13,8,3,2
Emmet,City of Petoskey Ward 1 Precinct 1,Judge of Circuit Court 57th Circuit,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Judge of Circuit Court 57th Circuit,,,Undervotes,290,93,152,45
Emmet,City of Petoskey Ward 1 Precinct 1,Judge of Probate District Court 7th District,,,Valerie K. Snyder,466,179,218,69
Emmet,City of Petoskey Ward 1 Precinct 1,Judge of Probate District Court 7th District,,,Write-ins,10,6,4,0
Emmet,City of Petoskey Ward 1 Precinct 1,Judge of Probate District Court 7th District,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Judge of Probate District Court 7th District,,,Undervotes,299,102,156,41
Emmet,City of Petoskey Ward 1 Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,John E. Fought,241,82,123,36
Emmet,City of Petoskey Ward 1 Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,James M. Shirilla,327,98,191,38
Emmet,City of Petoskey Ward 1 Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Janelle A. Wozniak,313,115,153,45
Emmet,City of Petoskey Ward 1 Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Write-ins,11,7,4,0
Emmet,City of Petoskey Ward 1 Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Overvotes,6,0,6,0
Emmet,City of Petoskey Ward 1 Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Undervotes,652,272,279,101
Emmet,City of Petoskey Ward 1 Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Keith A. Pretty,419,164,201,54
Emmet,City of Petoskey Ward 1 Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Write-ins,11,6,4,1
Emmet,City of Petoskey Ward 1 Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Community College Board of Trustees Member North Central Michigan College,,,Undervotes,345,117,173,55
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Community College Board of Trustees Member North Central Michigan College,,,Larry Cassidy,352,125,179,48
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Community College Board of Trustees Member North Central Michigan College,,,Beverly Osetek,361,120,194,47
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Community College Board of Trustees Member North Central Michigan College,,,Write-ins,10,5,3,2
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Community College Board of Trustees Member North Central Michigan College,,,Overvotes,0,0,0,0
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Community College Board of Trustees Member North Central Michigan College,,,Undervotes,825,324,378,123
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Mayor City of Petoskey,,,John Murphy,481,175,244,62
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Mayor City of Petoskey,,,Write-ins,26,10,11,5
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Mayor City of Petoskey,,,Overvotes,0,0,0,0
Emmet,Intermediate School District Board Member Charlevoix-Emmet Isd,Mayor City of Petoskey,,,Undervotes,268,102,123,43
Emmet,City of Petoskey Ward 1 Precinct 1,Local School District Board Member Petoskey Public Schools,,,Mark Ashley,355,125,177,53
Emmet,City of Petoskey Ward 1 Precinct 1,Local School District Board Member Petoskey Public Schools,,,Denise Petoskey,419,148,212,59
Emmet,City of Petoskey Ward 1 Precinct 1,Local School District Board Member Petoskey Public Schools,,,Write-ins,11,4,7,0
Emmet,City of Petoskey Ward 1 Precinct 1,Local School District Board Member Petoskey Public Schools,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 1 Precinct 1,Local School District Board Member Petoskey Public Schools,,,Undervotes,762,297,357,108
Emmet,City of Petoskey Ward 2 Precinct 1,Registered Voters,,,,1136,,,
Emmet,City of Petoskey Ward 2 Precinct 1,Ballots Cast,,,,909,319,420,170
Emmet,City of Petoskey Ward 2 Precinct 1,Ballots Cast - Blank,,,,0,0,0,0
Emmet,City of Petoskey Ward 2 Precinct 1,Straight Party Ticket,,DEM,Democrat,240,80,122,38
Emmet,City of Petoskey Ward 2 Precinct 1,Straight Party Ticket,,REP,Republican,193,71,65,57
Emmet,City of Petoskey Ward 2 Precinct 1,Straight Party Ticket,,LIB,Libertarian,0,0,0,0
Emmet,City of Petoskey Ward 2 Precinct 1,Straight Party Ticket,,UST,U.S. Taxpayers,1,0,1,0
Emmet,City of Petoskey Ward 2 Precinct 1,Straight Party Ticket,,GRN,Green,0,0,0,0
Emmet,City of Petoskey Ward 2 Precinct 1,Straight Party Ticket,,WCP,Working Class,2,2,0,0
Emmet,City of Petoskey Ward 2 Precinct 1,Straight Party Ticket,,NLP,Natural Law,1,1,0,0
Emmet,City of Petoskey Ward 2 Precinct 1,Straight Party Ticket,,,Overvotes,1,1,0,0
Emmet,City of Petoskey Ward 2 Precinct 1,Straight Party Ticket,,,Undervotes,471,164,232,75
Emmet,City of Petoskey Ward 2 Precinct 1,President,,DEM,Kamala D. Harris,553,182,293,78
Emmet,City of Petoskey Ward 2 Precinct 1,President,,REP,Donald J. Trump,332,127,117,88
Emmet,City of Petoskey Ward 2 Precinct 1,President,,LIB,Chase Oliver,3,1,2,0
Emmet,City of Petoskey Ward 2 Precinct 1,President,,UST,Randall Terry,0,0,0,0
Emmet,City of Petoskey Ward 2 Precinct 1,President,,GRN,Jill Stein,2,1,1,0
Emmet,City of Petoskey Ward 2 Precinct 1,President,,NLP,"NLP Robert F. Kennedy, Jr.",6,3,2,1
Emmet,City of Petoskey Ward 2 Precinct 1,President,,NPA,NPA Joseph Kishore,1,0,0,1
Emmet,City of Petoskey Ward 2 Precinct 1,President,,NPA,NPA Cornel West,1,0,1,0
Emmet,City of Petoskey Ward 2 Precinct 1,President,,,Write-ins,2,0,1,1
Emmet,City of Petoskey Ward 2 Precinct 1,President,,,Write-In: Peter Sonski,0,0,0,0
Emmet,City of Petoskey Ward 2 Precinct 1,President,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 2 Precinct 1,President,,,Undervotes,9,5,3,1
Emmet,City of Petoskey Ward 2 Precinct 1,U.S. Senate,,DEM,Elissa Slotkin,542,181,284,77
Emmet,City of Petoskey Ward 2 Precinct 1,U.S. Senate,,REP,Mike Rogers,339,125,122,92
Emmet,City of Petoskey Ward 2 Precinct 1,U.S. Senate,,LIB,Joseph Solis-Mullen,7,4,3,0
Emmet,City of Petoskey Ward 2 Precinct 1,U.S. Senate,,UST,Dave Stein,4,3,1,0
Emmet,City of Petoskey Ward 2 Precinct 1,U.S. Senate,,GRN,Douglas P. Marsh,5,0,5,0
Emmet,City of Petoskey Ward 2 Precinct 1,U.S. Senate,,NLP,Doug Dern,2,2,0,0
Emmet,City of Petoskey Ward 2 Precinct 1,U.S. Senate,,,Write-ins,1,1,0,0
Emmet,City of Petoskey Ward 2 Precinct 1,U.S. Senate,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 2 Precinct 1,U.S. Senate,,,Undervotes,9,3,5,1
Emmet,City of Petoskey Ward 2 Precinct 1,U.S. House,,DEM,Callie Barr,532,176,278,78
Emmet,City of Petoskey Ward 2 Precinct 1,U.S. House,,REP,Jack Bergman,344,126,130,88
Emmet,City of Petoskey Ward 2 Precinct 1,U.S. House,,LIB,Andrew Gale,10,6,3,1
Emmet,City of Petoskey Ward 2 Precinct 1,U.S. House,,WCP,Liz Hakola,9,4,3,2
Emmet,City of Petoskey Ward 2 Precinct 1,U.S. House,,,Write-ins,1,1,0,0
Emmet,City of Petoskey Ward 2 Precinct 1,U.S. House,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 2 Precinct 1,U.S. House,,,Undervotes,13,6,6,1
Emmet,City of Petoskey Ward 2 Precinct 1,State House,,DEM,Jodi Decker,504,166,265,73
Emmet,City of Petoskey Ward 2 Precinct 1,State House,,REP,Parker Fairbairn,383,142,146,95
Emmet,City of Petoskey Ward 2 Precinct 1,State House,,,Write-ins,2,2,0,0
Emmet,City of Petoskey Ward 2 Precinct 1,State House,,,Overvotes,1,1,0,0
Emmet,City of Petoskey Ward 2 Precinct 1,State House,,,Undervotes,19,8,9,2
Emmet,City of Petoskey Ward 2 Precinct 1,Member of the State Board of Education State,,DEM,Theodore Jones,486,155,256,75
Emmet,City of Petoskey Ward 2 Precinct 1,Member of the State Board of Education State,,DEM,Adam Frederick Zemke,468,143,254,71
Emmet,City of Petoskey Ward 2 Precinct 1,Member of the State Board of Education State,,REP,Tom McMillin,306,113,113,80
Emmet,City of Petoskey Ward 2 Precinct 1,Member of the State Board of Education State,,REP,Nikki Snyder,326,123,120,83
Emmet,City of Petoskey Ward 2 Precinct 1,Member of the State Board of Education State,,LIB,Scotty Boman,28,14,11,3
Emmet,City of Petoskey Ward 2 Precinct 1,Member of the State Board of Education State,,UST,Ted Gerrard,5,2,3,0
Emmet,City of Petoskey Ward 2 Precinct 1,Member of the State Board of Education State,,UST,Christine C. Schwartz,7,3,4,0
Emmet,City of Petoskey Ward 2 Precinct 1,Member of the State Board of Education State,,WCP,Mary Anne Hering,35,14,16,5
Emmet,City of Petoskey Ward 2 Precinct 1,Member of the State Board of Education State,,,Write-ins,4,4,0,0
Emmet,City of Petoskey Ward 2 Precinct 1,Member of the State Board of Education State,,,Overvotes,0,0,0,0
Emmet,City of Petoskey Ward 2 Precinct 1,Member of the State Board of Education State,,,Undervotes,153,67,63,23
