ccounty,precinct,office,district,candidate,party,votes
Cass,Jefferson Township,Straight Party Ticket,,Natural Law Party,NLP,0
Cass,Jefferson Township,Straight Party Ticket,,Unresolved Write-In,,0
Cass,Jefferson Township,President,,Kamala D. Harris/Tim Walz,DEM,198
Cass,Jefferson Township,President,,Donald J. Trump/JD Vance,REP,159
Cass,Jefferson Township,President,,Chase Oliver/Mike ter Maat,LIB,1
Cass,Jefferson Township,President,,Randall Terry/Stephen E. Broden,UST,1
Cass,Jefferson Township,President,,Jill Stein/Rudolph Ware,GRN,0
Cass,Jefferson Township,President,,"Robert F. Kennedy, Jr./Nicole Shanahan",NLP,0
Cass,Jefferson Township,President,,Joseph Kishore/Jerry White,NPA,0
Cass,Jefferson Township,President,,Cornel West/Melina Abdullah,NPA,0
Cass,Jefferson Township,President,,Peter Sonski,WRITE-IN,0
Cass,Jefferson Township,President,,Unresolved Write-In,,1
Cass,Jefferson Township,United States Senator,,Elissa Slotkin,DEM,185
Cass,Jefferson Township,United States Senator,,Mike Rogers,REP,165
Cass,Jefferson Township,United States Senator,,Joseph Solis-Mullen,LIB,0
Cass,Jefferson Township,United States Senator,,Dave Stein,UST,1
Cass,Jefferson Township,United States Senator,,Douglas P. Marsh,GRN,1
Cass,Jefferson Township,United States Senator,,Doug Dern,NLP,1
Cass,Jefferson Township,United States Senator,,Unresolved Write-In,,0
Cass,Jefferson Township,U.S. House,5,Libbi Urban,DEM,179
Cass,Jefferson Township,U.S. House,5,Tim Walberg,REP,170
Cass,Jefferson Township,U.S. House,5,James Bronke,GRN,4
Cass,Jefferson Township,U.S. House,5,Unresolved Write-In,,0
Cass,Jefferson Township,State House,36,Erin L. Schultes,DEM,177
Cass,Jefferson Township,State House,36,Steve Carra,REP,166
Cass,Jefferson Township,State House,36,Unresolved Write-In,,0
Cass,Jefferson Township,Member of the State Board of Education,,Theodore Jones,DEM,171
Cass,Jefferson Township,Member of the State Board of Education,,Adam Frederick Zemke,DEM,159
Cass,Jefferson Township,Member of the State Board of Education,,Tom McMillin,REP,149
Cass,Jefferson Township,Member of the State Board of Education,,Nikki Snyder,REP,164
Cass,Jefferson Township,Member of the State Board of Education,,Scotty Boman,LIB,4
Cass,Jefferson Township,Member of the State Board of Education,,Ted Gerrard,UST,1
Cass,Jefferson Township,Member of the State Board of Education,,Christine C. Schwartz,UST,2
Cass,Jefferson Township,Member of the State Board of Education,,Mary Anne Hering,WCP,14
Cass,Jefferson Township,Member of the State Board of Education,,Unresolved Write-In,,0
Cass,Jefferson Township,Regent of the University of Michigan,,Denise llitch,DEM,173
Cass,Jefferson Township,Regent of the University of Michigan,,Shauna Ryder Diggs,DEM,158
Cass,Jefferson Township,Regent of the University of Michigan,,Carl Meyers,REP,169
Cass,Jefferson Township,Regent of the University of Michigan,,Sevag Vartanian,REP,148
Cass,Jefferson Township,Regent of the University of Michigan,,Andrew Chadderdon,LIB,2
Cass,Jefferson Township,Regent of the University of Michigan,,Donna M. Oetman,UST,5
Cass,Jefferson Township,Regent of the University of Michigan,,Huwaida Arraf,WRITE-IN,0
Cass,Jefferson Township,Regent of the University of Michigan,,Unresolved Write-In,,0
Cass,Jefferson Township,Trustee of Michigan State University,,Rebecca Bahar-Cook,DEM,171
Cass,Jefferson Township,Trustee of Michigan State University,,Thomas Stallworth III,DEM,152
Cass,Jefferson Township,Trustee of Michigan State University,,Mike Balow,REP,163
Cass,Jefferson Township,Trustee of Michigan State University,,Julie Maday,REP,157
Cass,Jefferson Township,Trustee of Michigan State University,,Grant T. Baker,LIB,3
Cass,Jefferson Township,Trustee of Michigan State University,,Janet M. Sanger,UST,5
Cass,Jefferson Township,Trustee of Michigan State University,,John Paul Sanger,UST,2
Cass,Jefferson Township,Trustee of Michigan State University,,John Anthony La Pietra,GRN,6
Cass,Jefferson Township,Trustee of Michigan State University,,Unresolved Write-In,,1
Cass,Jefferson Township,Governor of Wayne State University,,Rasha Demashkieh,DEM,155
Cass,Jefferson Township,Governor of Wayne State University,,Mark T. Gaffney,DEM,153
Cass,Jefferson Township,Governor of Wayne State University,,Michael Busuito,REP,162
Cass,Jefferson Township,Governor of Wayne State University,,Sunny Reddy,REP,159
Cass,Jefferson Township,Governor of Wayne State University,,Farid Ishac,LIB,0
Cass,Jefferson Township,Governor of Wayne State University,,William Mohr II,UST,0
Cass,Jefferson Township,Governor of Wayne State University,,Sami Makhoul,GRN,4
Cass,Jefferson Township,Governor of Wayne State University,,Suzanne Roehrig,WCP,10
Cass,Jefferson Township,Governor of Wayne State University,,Kathleen Oakford,NLP,3
Cass,Jefferson Township,Governor of Wayne State University,,Unresolved Write-In,,0
Cass,Jefferson Township,County Prosecuting Attorney,,Victor Fitz,REP,210
Cass,Jefferson Township,County Prosecuting Attorney,,Unresolved Write-In,,8
Cass,Jefferson Township,County Sheriff,,Clint Roach,REP,213
Cass,Jefferson Township,County Sheriff,,Unresolved Write-In,,5
Cass,Jefferson Township,County Clerk and Register of Deeds,,Monica McMichael,REP,208
Cass,Jefferson Township,County Clerk and Register of Deeds,,Unresolved Write-In,,4
Cass,Jefferson Township,County Treasurer,,Hope Anderson,REP,214
Cass,Jefferson Township,County Treasurer,,Unresolved Write-In,,4
Cass,Jefferson Township,County Drain Commissioner,,Jeff VanBelle,REP,208
Cass,Jefferson Township,County Drain Commissioner,,Unresolved Write-In,,4
Cass,Jefferson Township,County Surveyor,,Thomas A. Stephenson,NPA,144
Cass,Jefferson Township,County Surveyor,,Unresolved Write-In,,4
Cass,Jefferson Township,County Commissioner 5th District,,James L. Wierman,DEM,178
Cass,Jefferson Township,County Commissioner 5th District,,Michael D. Grice,REP,169
Cass,Jefferson Township,County Commissioner 5th District,,Unresolved Write-In,,1
Cass,Jefferson Township,Jefferson Township Supervisor,,Dean M. Hass,REP,213
Cass,Jefferson Township,Jefferson Township Supervisor,,Unresolved Write-In,,4
Cass,Jefferson Township,Jefferson Township Clerk,,Jennifer Brunner,REP,216
Cass,Jefferson Township,Jefferson Township Clerk,,Unresolved Write-In,,4
Cass,Jefferson Township,Jefferson Township Treasurer,,Karla R. Mendenhall,REP,227
Cass,Jefferson Township,Jefferson Township Treasurer,,Unresolved Write-In,,4
Cass,Jefferson Township,Jefferson Township Trustee,,Della Bundle,DEM,214
Cass,Jefferson Township,Jefferson Township Trustee,,Jeff Gillam,DEM,197
Cass,Jefferson Township,Jefferson Township Trustee,,Unresolved Write-In,,7
Cass,Jefferson Township,Justice of Supreme Court 8 Year Term,,Andrew Fink,,97
Cass,Jefferson Township,Justice of Supreme Court 8 Year Term,,Kimberly Ann Thomas,,170
Cass,Jefferson Township,Justice of Supreme Court 8 Year Term,,Total Unresolved Write-In,,2
Cass,Jefferson Township,Justice of Supreme Court Partial Term Ending 01/01/2029,,Kyra Harris Bolden,,176
Cass,Jefferson Township,Justice of Supreme Court Partial Term Ending 01/01/2029,,Patrick William O'Grady,,91
Cass,Jefferson Township,Justice of Supreme Court Partial Term Ending 01/01/2029,,Unresolved Write-In,,1
Cass,Jefferson Township,Judge of Court of Appeals 3rd District Incumbent Position,,Philip P. Mariani,,173
Cass,Jefferson Township,Judge of Court of Appeals 3rd District Incumbent Position,,Christopher P. Yates,,171
Cass,Jefferson Township,Judge of Court of Appeals 3rd District Incumbent Position,,Unresolved Write-In,,2
Cass,Jefferson Township,Judge of Probate Court Incumbent Position,,Carol Montavon Bealor,,206
Cass,Jefferson Township,Judge of Probate Court Incumbent Position,,Total Unresolved Write-In,,2
Cass,Jefferson Township,Southwestern Michigan College Board of Trustees Member,,Dwight Dyes,,164
Cass,Jefferson Township,Southwestern Michigan College Board of Trustees Member,,Elaine Foster,,187
Cass,Jefferson Township,Southwestern Michigan College Board of Trustees Member,,Total Unresolved Write-In,,2
Cass,Jefferson Township,Cassopolis Public Schools Board Member,,Della Bundle,,61
Cass,Jefferson Township,Cassopolis Public Schools Board Member,,Joseph Lenex,,25
Cass,Jefferson Township,Cassopolis Public Schools Board Member,,Amanda Smego,,96
Cass,Jefferson Township,Cassopolis Public Schools Board Member,,Aaron Steensma,,70
Cass,Jefferson Township,Cassopolis Public Schools Board Member,,Joshua Stoops,,41
Cass,Jefferson Township,Cassopolis Public Schools Board Member,,Unresolved Write-In,,3
Cass,Jefferson Township,Edwardsburg Public Schools Board Member,,Arin Johnson,,59
Cass,Jefferson Township,Edwardsburg Public Schools Board Member,,Alan Miller,,60
Cass,Jefferson Township,Edwardsburg Public Schools Board Member,,Tammy Niernier,,93
Cass,Jefferson Township,Edwardsburg Public Schools Board Member,,Tony Overmyer,,76
Cass,Jefferson Township,Edwardsburg Public Schools Board Member,,Nick Yoder,,56
Cass,Jefferson Township,Edwardsburg Public Schools Board Member,,Unresolved Write-In,,0
Cass,Jefferson Township,Jefferson Township Roads Millage Renewal Proposal,,Yes,,192
Cass,Jefferson Township,Jefferson Township Roads Millage Renewal Proposal,,No,,127
Cass,Jefferson Township,Jefferson Township Roads Millage Renewal Proposal,,Unresolved Write-In,,0
Cass,"LaGrange Township, Precinct 1",Registered Voters,,,,2413
Cass,"LaGrange Township, Precinct 1",Ballots Cast,,,,557
Cass,"LaGrange Township, Precinct 1",Straight Party Ticket,,Democratic Party,DEM,137
Cass,"LaGrange Township, Precinct 1",Straight Party Ticket,,Republican Party,REP,182
Cass,"LaGrange Township, Precinct 1",Straight Party Ticket,,Libertarian Party,LIB,5
Cass,"LaGrange Township, Precinct 1",Straight Party Ticket,,U.S. Taxpayers Party,UST,2
Cass,"LaGrange Township, Precinct 1",Straight Party Ticket,,Green Party,GRN,1
Cass,"LaGrange Township, Precinct 1",Straight Party Ticket,,Working Class Party,WCP,7
Cass,"LaGrange Township, Precinct 1",Straight Party Ticket,,Natural Law Party,NLP,1
Cass,"LaGrange Township, Precinct 1",Straight Party Ticket,,Unresolved Write-In,,0
Cass,"LaGrange Township, Precinct 1",President,,Kamala D. Harris/Tim Walz,DEM,216
Cass,"LaGrange Township, Precinct 1",President,,Donald J. Trump/JD Vance,REP,320
Cass,"LaGrange Township, Precinct 1",President,,Chase Oliver/Mike ter Maat,LIB,4
Cass,"LaGrange Township, Precinct 1",President,,Randall Terry/Stephen E. Broden,UST,4
Cass,"LaGrange Township, Precinct 1",President,,Jill Stein/Rudolph Ware,GRN,0
Cass,"LaGrange Township, Precinct 1",President,,"Robert F. Kennedy, Jr./Nicole Shanahan",NLP,5
Cass,"LaGrange Township, Precinct 1",President,,Joseph Kishore/Jerry White,NPA,1
Cass,"LaGrange Township, Precinct 1",President,,Cornel West/Melina Abdullah,NPA,1
Cass,"LaGrange Township, Precinct 1",President,,Peter Sonski,WRITE-IN,0
Cass,"LaGrange Township, Precinct 1",President,,Unresolved Write-In,,3
Cass,"LaGrange Township, Precinct 1",United States Senator,,Elissa Stotkin,DEM,204
Cass,"LaGrange Township, Precinct 1",United States Senator,,Mike Rogers,REP,314
Cass,"LaGrange Township, Precinct 1",United States Senator,,Joseph Solis-Mullen,LIB,9
Cass,"LaGrange Township, Precinct 1",United States Senator,,Dave Stein,UST,7
Cass,"LaGrange Township, Precinct 1",United States Senator,,Douglas P. Marsh,GRN,2
Cass,"LaGrange Township, Precinct 1",United States Senator,,Doug Dern,NLP,4
Cass,"LaGrange Township, Precinct 1",United States Senator,,Unresolved Write-In,,2
Cass,"LaGrange Township, Precinct 1",U.S. House,5,Libbi Urban,DEM,209
Cass,"LaGrange Township, Precinct 1",U.S. House,5,Tim Walberg,REP,312
Cass,"LaGrange Township, Precinct 1",U.S. House,5,James Bronke,GRN,16
Cass,"LaGrange Township, Precinct 1",U.S. House,5,Unresolved Write-In,,2
Cass,"LaGrange Township, Precinct 1",State House,36,Erin L. Schultes,DEM,212
Cass,"LaGrange Township, Precinct 1",State House,36,Steve Carra,REP,317
Cass,"LaGrange Township, Precinct 1",State House,36,Unresolved Write-In,,1
Cass,"LaGrange Township, Precinct 1",State House,37,Angela Jones,DEM,0
Cass,"LaGrange Township, Precinct 1",State House,37,Brad Paquette,REP,3
Cass,"LaGrange Township, Precinct 1",State House,37,Unresolved Write-In,,0
Cass,"LaGrange Township, Precinct 1",Member of the State Board of Education,,Theodore Jones,DEM,190
Cass,"LaGrange Township, Precinct 1",Member of the State Board of Education,,Adam Frederick Zemke,DEM,176
Cass,"LaGrange Township, Precinct 1",Member of the State Board of Education,,Tom McMillin,REP,274
Cass,"LaGrange Township, Precinct 1",Member of the State Board of Education,,Nikki Snyder,REP,272
Cass,"LaGrange Township, Precinct 1",Member of the State Board of Education,,Scotty Boman,LIB,13
Cass,"LaGrange Township, Precinct 1",Member of the State Board of Education,,Ted Gerrard,UST,11
Cass,"LaGrange Township, Precinct 1",Member of the State Board of Education,,Christine C. Schwartz,UST,17
Cass,"LaGrange Township, Precinct 1",Member of the State Board of Education,,Mary Anne Hering,WCP,50
Cass,"LaGrange Township, Precinct 1",Member of the State Board of Education,,Unresolved Write-In,,5
Cass,"LaGrange Township, Precinct 1",Regent of the University of Michigan,,Denise llitch,DEM,189
Cass,"LaGrange Township, Precinct 1",Regent of the University of Michigan,,Shauna Ryder Diggs,DEM,194
Cass,"LaGrange Township, Precinct 1",Regent of the University of Michigan,,Carl Meyers,REP,297
Cass,"LaGrange Township, Precinct 1",Regent of the University of Michigan,,Sevag Vartanian,REP,243
Cass,"LaGrange Township, Precinct 1",Regent of the University of Michigan,,Andrew Chadderdon,LIB,24
Cass,"LaGrange Township, Precinct 1",Regent of the University of Michigan,,Donna M. Oetman,UST,36
Cass,"LaGrange Township, Precinct 1",Regent of the University of Michigan,,Huwaida Arraf,WRITE-IN,0
Cass,"LaGrange Township, Precinct 1",Regent of the University of Michigan,,Unresolved Write-In,,5
Cass,"LaGrange Township, Precinct 1",Trustee of Michigan State University,,Rebecca Bahar-Cook,DEM,197
Cass,"LaGrange Township, Precinct 1",Trustee of Michigan State University,,Thomas Stallworth III,DEM,170
Cass,"LaGrange Township, Precinct 1",Trustee of Michigan State University,,Mike Balow,REP,282
Cass,"LaGrange Township, Precinct 1",Trustee of Michigan State University,,Julie Maday,REP,256
Cass,"LaGrange Township, Precinct 1",Trustee of Michigan State University,,Grant T. Baker,LIB,22
Cass,"LaGrange Township, Precinct 1",Trustee of Michigan State University,,Janet M. Sanger,UST,26
Cass,"LaGrange Township, Precinct 1",Trustee of Michigan State University,,John Paul Sanger,UST,19
Cass,"LaGrange Township, Precinct 1",Trustee of Michigan State University,,John Anthony La Pietra,GRN,10
Cass,"LaGrange Township, Precinct 1",Trustee of Michigan State University,,Unresolved Write-In,,5
Cass,"LaGrange Township, Precinct 1",Governor of Wayne State University,,Rasha Demashkieh,DEM,175
Cass,"LaGrange Township, Precinct 1",Governor of Wayne State University,,Mark T. Gaffney,DEM,181
Cass,"LaGrange Township, Precinct 1",Governor of Wayne State University,,Michael Busuito,REP,269
Cass,"LaGrange Township, Precinct 1",Governor of Wayne State University,,Sunny Reddy,REP,258
Cass,"LaGrange Township, Precinct 1",Governor of Wayne State University,,Farid Ishac,LIB,8
Cass,"LaGrange Township, Precinct 1",Governor of Wayne State University,,William Mohr II,UST,17
Cass,"LaGrange Township, Precinct 1",Governor of Wayne State University,,Sami Makhoul,GRN,7
Cass,"LaGrange Township, Precinct 1",Governor of Wayne State University,,Suzanne Roehrig,WCP,39
Cass,"LaGrange Township, Precinct 1",Governor of Wayne State University,,Kathleen Oakford,NLP,10
Cass,"LaGrange Township, Precinct 1",Governor of Wayne State University,,Unresolved Write-In,,5
Cass,"LaGrange Township, Precinct 1",County Prosecuting Attorney,,Victor Fitz,REP,396
Cass,"LaGrange Township, Precinct 1",County Prosecuting Attorney,,Unresolved Write-In,,21
Cass,"LaGrange Township, Precinct 1",County Sheriff,,Clint Roach,REP,406
Cass,"LaGrange Township, Precinct 1",County Sheriff,,Unresolved Write-In,,17
Cass,"LaGrange Township, Precinct 1",County Clerk and Register of Deeds,,Monica McMichael,REP,406
Cass,"LaGrange Township, Precinct 1",County Clerk and Register of Deeds,,Unresolved Write-In,,10
Cass,"LaGrange Township, Precinct 1",County Treasurer,,Hope Anderson,REP,418
Cass,"LaGrange Township, Precinct 1",County Treasurer,,Unresolved Write-In,,8
Cass,"LaGrange Township, Precinct 1",County Drain Commissioner,,Jeff VanBelle,REP,393
Cass,"LaGrange Township, Precinct 1",County Drain Commissioner,,Unresolved Write-In,,17
Cass,"LaGrange Township, Precinct 1",County Surveyor,,Thomas A. Stephenson,NPA,339
Cass,"LaGrange Township, Precinct 1",County Surveyor,,Unresolved Write-In,,6
Cass,"LaGrange Township, Precinct 1",County Commissioner 5th District,,James L. Wierman,DEM,209
Cass,"LaGrange Township, Precinct 1",County Commissioner 5th District,,Michael D. Grice,REP,314
Cass,"LaGrange Township, Precinct 1",County Commissioner 5th District,,Unresolved Write-In,,4
Cass,"LaGrange Township, Precinct 1",LaGrange Township Supervisor,,Leon Gilliam,DEM,236
Cass,"LaGrange Township, Precinct 1",LaGrange Township Supervisor,,Brittany File,REP,293
Cass,"LaGrange Township, Precinct 1",LaGrange Township Supervisor,,Unresolved Write-In,,6
Cass,"LaGrange Township, Precinct 1",LaGrange Township Clerk,,Tasha E. McCoy,REP,384
Cass,"LaGrange Township, Precinct 1",LaGrange Township Clerk,,Unresolved Write-In,,15
Cass,"LaGrange Township, Precinct 1",LaGrange Township Treasurer,,Naomi J. Criswell,REP,390
Cass,"LaGrange Township, Precinct 1",LaGrange Township Treasurer,,Unresolved Write-In,,17
Cass,"LaGrange Township, Precinct 1",LaGrange Township Trustee,,Paul D. File,REP,341
Cass,"LaGrange Township, Precinct 1",LaGrange Township Trustee,,Amy J. Juroff,REP,342
Cass,"LaGrange Township, Precinct 1",LaGrange Township Trustee,,Unresolved Write-In,,20
Cass,"LaGrange Township, Precinct 1",Justice of Supreme Court 8 Year Term,,Andrew Fink,,160
Cass,"LaGrange Township, Precinct 1",Justice of Supreme Court 8 Year Term,,Kimberly Ann Thomas,,234
Cass,"LaGrange Township, Precinct 1",Justice of Supreme Court 8 Year Term,,Total Unresolved Write-In,,8
Cass,"LaGrange Township, Precinct 1",Justice of Supreme Court Partial Term Ending 01/01/2029,,Kyra Harris Bolden,,212
Cass,"LaGrange Township, Precinct 1",Justice of Supreme Court Partial Term Ending 01/01/2029,,Patrick William O'Grady,,179
Cass,"LaGrange Township, Precinct 1",Justice of Supreme Court Partial Term Ending 01/01/2029,,Unresolved Write-In,,11
Cass,"LaGrange Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position,,Philip P. Mariani,,229
Cass,"LaGrange Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position,,Christopher P. Yates,,266
Cass,"LaGrange Township, Precinct 1",Judge of Court of Appeals 3rd District Incumbent Position,,Unresolved Write-In,,17
Cass,"LaGrange Township, Precinct 1",Judge of Probate Court Incumbent Position,,Carol Montavon Bealor,,339
Cass,"LaGrange Township, Precinct 1",Judge of Probate Court Incumbent Position,,Total Unresolved Write-In,,18
Cass,"LaGrange Township, Precinct 1",Southwestern Michigan College Board of Trustees Member,,Dwight Dyes,,267
Cass,"LaGrange Township, Precinct 1",Southwestern Michigan College Board of Trustees Member,,Elaine Foster,,277
Cass,"LaGrange Township, Precinct 1",Southwestern Michigan College Board of Trustees Member,,Unresolved Write-In,,13
Cass,"LaGrange Township, Precinct 1",Village of Cassopolis President,,David L. Johnson,,124
Cass,"LaGrange Township, Precinct 1",Village of Cassopolis President,,Jim Pedersen,,91
Cass,"LaGrange Township, Precinct 1",Village of Cassopolis President,,Unresolved Write-In,,5
Cass,"LaGrange Township, Precinct 1",Village of Cassopolis Trustee,,Kimberle Danzy-Yeager,,143
Cass,"LaGrange Township, Precinct 1",Village of Cassopolis Trustee,,Stefon Luckey,,147
Cass,"LaGrange Township, Precinct 1",Village of Cassopolis Trustee,,Frank Williams Jr.,,124
Cass,"LaGrange Township, Precinct 1",Village of Cassopolis Trustee,,Unresolved Write-In,,7
Cass,"LaGrange Township, Precinct 1",Cassopolis Public Schools Board Member,,Della Bundle,,103
Cass,"LaGrange Township, Precinct 1",Cassopolis Public Schools Board Member,,Joseph Lenex,,83
Cass,"LaGrange Township, Precinct 1",Cassopolis Public Schools Board Member,,Amanda Smego,,189
Cass,"LaGrange Township, Precinct 1",Cassopolis Public Schools Board Member,,Aaron Steensma,,193
Cass,"LaGrange Township, Precinct 1",Cassopolis Public Schools Board Member,,Joshua Stoops,,127
Cass,"LaGrange Township, Precinct 1",Cassopolis Public Schools Board Member,,Unresolved Write-In,,6
Cass,"LaGrange Township, Precinct 1",Dowagiac Union Schools Board Member 4 Year Term,,Christina Carpenter,,55
Cass,"LaGrange Township, Precinct 1",Dowagiac Union Schools Board Member 4 Year Term,,Tracey Hatcher,,53
Cass,"LaGrange Township, Precinct 1",Dowagiac Union Schools Board Member 4 Year Term,,Dominique Hood-Charles,,46
Cass,"LaGrange Township, Precinct 1",Dowagiac Union Schools Board Member 4 Year Term,,Randi Taggart,,62
Cass,"LaGrange Township, Precinct 1",Dowagiac Union Schools Board Member 4 Year Term,,Unresolved Write-In,,2
Cass,"LaGrange Township, Precinct 1",Dowagiac Union Schools Board Member Partial Term Ending 12/31/2026,,Jeff de Varona,,74
Cass,"LaGrange Township, Precinct 1",Dowagiac Union Schools Board Member Partial Term Ending 12/31/2026,,Unresolved Write-In,,2
Cass,LaGrange Township,Registered Voters,,,,2413
Cass,LaGrange Township,Ballots Cast,,,,476
Cass,LaGrange Township,Straight Party Ticket,,Democratic Party,DEM,163
Cass,LaGrange Township,Straight Party Ticket,,Republican Party,REP,100
Cass,LaGrange Township,Straight Party Ticket,,Libertarian Party,LIB,2
Cass,LaGrange Township,Straight Party Ticket,,U.S. Taxpayers Party,UST,0
Cass,LaGrange Township,Straight Party Ticket,,Green Party,GRN,0
Cass,LaGrange Township,Straight Party Ticket,,Working Class Party,WCP,2
Cass,LaGrange Township,Straight Party Ticket,,Natural Law Party,NLP,2
Cass,LaGrange Township,Straight Party Ticket,,Unresolved Write-In,,0
Cass,LaGrange Township,President,,Kamala D. Harris/Tim Walz,DEM,304
Cass,LaGrange Township,President,,Donald J. Trump/JD Vance,REP,157
Cass,LaGrange Township,President,,Chase Oliver/Mike ter Maat,LIB,3
Cass,LaGrange Township,President,,Randall Terry/Stephen E. Broden,UST,1
Cass,LaGrange Township,President,,Jill Stein/Rudolph Ware,GRN,2
Cass,LaGrange Township,President,,"Robert F. Kennedy, Jr./Nicole Shanahan",NLP,4
Cass,LaGrange Township,President,,Joseph Kishore/Jerry White,NPA,1
Cass,LaGrange Township,President,,Cornel West/Melina Abdullah,NPA,0
Cass,LaGrange Township,President,,Peter Sonski,WRITE-IN,0
Cass,LaGrange Township,President,,Unresolved Write-In,,1
Cass,LaGrange Township,United States Senator,,Elissa Slotkin,DEM,286
Cass,LaGrange Township,United States Senator,,Mike Rogers,REP,166
Cass,LaGrange Township,United States Senator,,Joseph Solis-Mullen,LIB,3
Cass,LaGrange Township,United States Senator,,Dave Stein,UST,3
Cass,LaGrange Township,United States Senator,,Douglas P. Marsh,GRN,2
Cass,LaGrange Township,United States Senator,,Doug Dern,NLP,2
Cass,LaGrange Township,United States Senator,,Unresolved Write-In,,0
Cass,LaGrange Township,U.S. House,5,Libbi Urban,DEM,275
Cass,LaGrange Township,U.S. House,5,Tim Walberg,REP,170
Cass,LaGrange Township,U.S. House,5,James Bronke,GRN,16
Cass,LaGrange Township,U.S. House,5,Unresolved Write-In,,0
Cass,LaGrange Township,State House,36,Erin L. Schultes,DEM,277
Cass,LaGrange Township,State House,36,Steve Carra,REP,171
Cass,LaGrange Township,State House,36,Unresolved Write-In,,0
Cass,LaGrange Township,State House,37,Angela Jones,DEM,4
Cass,LaGrange Township,State House,37,Brad Paquette,REP,5
Cass,LaGrange Township,State House,37,Unresolved Write-In,,0
Cass,LaGrange Township,Member of the State Board of Education,,Theodore Jones,DEM,262
Cass,LaGrange Township,Member of the State Board of Education,,Adam Frederick Zemke,DEM,244
Cass,LaGrange Township,Member of the State Board of Education,,Tom McMillin,REP,153
Cass,LaGrange Township,Member of the State Board of Education,,Nikki Snyder,REP,160
Cass,LaGrange Township,Member of the State Board of Education,,Scotty Boman,LIB,8
Cass,LaGrange Township,Member of the State Board of Education,,Ted Gerrard,UST,5
Cass,LaGrange Township,Member of the State Board of Education,,Christine C. Schwartz,UST,7
Cass,LaGrange Township,Member of the State Board of Education,,Mary Anne Hering,WCP,25
Cass,LaGrange Township,Member of the State Board of Education,,Unresolved Write-In,,0
Cass,LaGrange Township,Regent of the University of Michigan,,Denise Ilitch,DEM,266
Cass,LaGrange Township,Regent of the University of Michigan,,Shauna Ryder Diggs,DEM,257
Cass,LaGrange Township,Regent of the University of Michigan,,Carl Meyers,REP,162
Cass,LaGrange Township,Regent of the University of Michigan,,Sevag Vartanian,REP,139
Cass,LaGrange Township,Regent of the University of Michigan,,Andrew Chadderdon,LIB,10
Cass,LaGrange Township,Regent of the University of Michigan,,Donna M. Oetman,UST,14
Cass,LaGrange Township,Regent of the University of Michigan,,Huwaida Arraf,WRITE-IN,0
Cass,LaGrange Township,Regent of the University of Michigan,,Unresolved Write-In,,0
Cass,LaGrange Township,Trustee of Michigan State University,,Rebecca Bahar-Cook,DEM,264
Cass,LaGrange Township,Trustee of Michigan State University,,Thomas Stallworth III,DEM,248
Cass,LaGrange Township,Trustee of Michigan State University,,Mike Balow,REP,154
Cass,LaGrange Township,Trustee of Michigan State University,,Julie Maday,REP,153
Cass,LaGrange Township,Trustee of Michigan State University,,Grant T. Baker,LIB,10
Cass,LaGrange Township,Trustee of Michigan State University,,Janet M. Sanger,UST,9
Cass,LaGrange Township,Trustee of Michigan State University,,John Paul Sanger,UST,7
Cass,LaGrange Township,Trustee of Michigan State University,,John Anthony La Pietra,GRN,9
Cass,LaGrange Township,Trustee of Michigan State University,,Unresolved Write-In,,0
Cass,LaGrange Township,Governor of Wayne State University,,Rasha Demashkieh,DEM,239
Cass,LaGrange Township,Governor of Wayne State University,,Mark T. Gaffney,DEM,253
Cass,LaGrange Township,Governor of Wayne State University,,Michael Busuito,REP,146
Cass,LaGrange Township,Governor of Wayne State University,,Sunny Reddy,REP,151
Cass,LaGrange Township,Governor of Wayne State University,,Farid Ishac,LIB,5
Cass,LaGrange Township,Governor of Wayne State University,,William Mohr II,UST,8
Cass,LaGrange Township,Governor of Wayne State University,,Sami Makhoul,GRN,2
Cass,LaGrange Township,Governor of Wayne State University,,Suzanne Roehrig,WCP,19
Cass,LaGrange Township,Governor of Wayne State University,,Kathleen Oakford,NLP,11
Cass,LaGrange Township,Governor of Wayne State University,,Unresolved Write-In,,0
Cass,LaGrange Township,County Prosecuting Attorney,,Victor Fitz,REP,300
Cass,LaGrange Township,County Prosecuting Attorney,,Unresolved Write-In,,9
Cass,LaGrange Township,County Sheriff,,Clint Roach,REP,302
Cass,LaGrange Township,County Sheriff,,Unresolved Write-In,,10
Cass,LaGrange Township,County Clerk and Register of Deeds,,Monica McMichael,REP,303
Cass,LaGrange Township,County Clerk and Register of Deeds,,Unresolved Write-In,,9
Cass,LaGrange Township,County Treasurer,,Hope Anderson,REP,311
Cass,LaGrange Township,County Treasurer,,Unresolved Write-In,,8
Cass,LaGrange Township,County Drain Commissioner,,Jeff VanBelle,REP,285
Cass,LaGrange Township,County Drain Commissioner,,Unresolved Write-In,,14
Cass,LaGrange Township,County Surveyor,,Thomas A. Stephenson,NPA,243
Cass,LaGrange Township,County Surveyor,,Unresolved Write-In,,7
Cass,LaGrange Township,County Commissioner 5th District,,James L. Wierman,DEM,271
Cass,LaGrange Township,County Commissioner 5th District,,Michael D. Grice,REP,188
Cass,LaGrange Township,County Commissioner 5th District,,Unresolved Write-In,,0
