county,precinct,office,district,party,candidate,absentee,election_day,votes
Kalamazoo,Kalamazoo Twp. 4,Ballots Cast,,,,,,1096
Kalamazoo,Kalamazoo Twp. 5,Ballots Cast,,,,,,945
Kalamazoo,Kalamazoo Twp. 6,Ballots Cast,,,,,,975
Kalamazoo,Kalamazoo Twp. 7,Ballots Cast,,,,,,1603
Kalamazoo,Kalamazoo Twp. 8,Ballots Cast,,,,,,850
Kalamazoo,Kalamazoo Twp. 9,Ballots Cast,,,,,,648
Kalamazoo,Kalamazoo Twp. 10,Ballots Cast,,,,,,967
Kalamazoo,Oshtemo Twp. 1,Ballots Cast,,,,,,1024
Kalamazoo,Oshtemo Twp. 2,Ballots Cast,,,,,,1716
Kalamazoo,Oshtemo Twp. 3,Ballots Cast,,,,,,1203
Kalamazoo,Oshtemo Twp. 4,Ballots Cast,,,,,,1132
Kalamazoo,Oshtemo Twp. 5,Ballots Cast,,,,,,676
Kalamazoo,Oshtemo Twp. 6,Ballots Cast,,,,,,973
Kalamazoo,Oshtemo Twp. 7,Ballots Cast,,,,,,965
Kalamazoo,Oshtemo Twp. 8,Ballots Cast,,,,,,654
Kalamazoo,Oshtemo Twp. 9,Ballots Cast,,,,,,1466
Kalamazoo,Oshtemo Twp. 10,Ballots Cast,,,,,,671
Kalamazoo,Pavilion Twp. 1,Ballots Cast,,,,,,1429
Kalamazoo,Pavilion Twp. 2,Ballots Cast,,,,,,776
Kalamazoo,Pavilion Twp. 3,Ballots Cast,,,,,,759
Kalamazoo,Prairie Ronde Twp. 1,Ballots Cast,,,,,,1348
Kalamazoo,Richland Twp. 1,Ballots Cast,,,,,,1790
Kalamazoo,Richland Twp. 2,Ballots Cast,,,,,,1202
Kalamazoo,Richland Twp. 3,Ballots Cast,,,,,,1727
Kalamazoo,Ross Twp. 1,Ballots Cast,,,,,,1497
Kalamazoo,Ross Twp. 2,Ballots Cast,,,,,,1558
Kalamazoo,Schoolcraft Twp. 1,Ballots Cast,,,,,,1087
Kalamazoo,Schoolcraft Twp. 2,Ballots Cast,,,,,,661
Kalamazoo,Schoolcraft Twp. 3,Ballots Cast,,,,,,1782
Kalamazoo,Schoolcraft Twp. 4,Ballots Cast,,,,,,884
Kalamazoo,Texas Twp. 1,Ballots Cast,,,,,,1585
Kalamazoo,Texas Twp. 2,Ballots Cast,,,,,,1430
Kalamazoo,Texas Twp. 3,Ballots Cast,,,,,,1149
Kalamazoo,Texas Twp. 4,Ballots Cast,,,,,,1897
Kalamazoo,Texas Twp. 5,Ballots Cast,,,,,,1922
Kalamazoo,Texas Twp. 6,Ballots Cast,,,,,,1882
Kalamazoo,Wakeshma Twp. 1,Ballots Cast,,,,,,603
Kalamazoo,Galesburg City 1,Ballots Cast,,,,,,667
Kalamazoo,Kalamazoo City 1,Ballots Cast,,,,,,867
Kalamazoo,Kalamazoo City 2,Ballots Cast,,,,,,606
Kalamazoo,Kalamazoo City 3,Ballots Cast,,,,,,901
Kalamazoo,Kalamazoo City 4,Ballots Cast,,,,,,412
Kalamazoo,Kalamazoo City 5,Ballots Cast,,,,,,1505
Kalamazoo,Kalamazoo City 6,Ballots Cast,,,,,,1163
Kalamazoo,Kalamazoo City 7,Ballots Cast,,,,,,821
Kalamazoo,Kalamazoo City 8,Ballots Cast,,,,,,561
Kalamazoo,Kalamazoo City 9,Ballots Cast,,,,,,585
Kalamazoo,Kalamazoo City 10,Ballots Cast,,,,,,1238
Kalamazoo,Kalamazoo City 11,Ballots Cast,,,,,,603
Kalamazoo,Kalamazoo City 12,Ballots Cast,,,,,,1260
Kalamazoo,Kalamazoo City 13,Ballots Cast,,,,,,411
Kalamazoo,Kalamazoo City 14,Ballots Cast,,,,,,527
Kalamazoo,Kalamazoo City 15,Ballots Cast,,,,,,879
Kalamazoo,Kalamazoo City 16,Ballots Cast,,,,,,1237
Kalamazoo,Kalamazoo City 17,Ballots Cast,,,,,,986
Kalamazoo,Kalamazoo City 18,Ballots Cast,,,,,,980
Kalamazoo,Kalamazoo City 19,Ballots Cast,,,,,,1069
Kalamazoo,Kalamazoo City 20,Ballots Cast,,,,,,1525
Kalamazoo,Kalamazoo City 21,Ballots Cast,,,,,,1088
Kalamazoo,Kalamazoo City 22,Ballots Cast,,,,,,1252
Kalamazoo,Kalamazoo City 23,Ballots Cast,,,,,,648
Kalamazoo,Kalamazoo City 24,Ballots Cast,,,,,,648
Kalamazoo,Kalamazoo City 25,Ballots Cast,,,,,,1107
Kalamazoo,Kalamazoo City 26,Ballots Cast,,,,,,1249
Kalamazoo,Kalamazoo City 27,Ballots Cast,,,,,,530
Kalamazoo,Parchment City 1,Ballots Cast,,,,,,846
Kalamazoo,Portage City 1,Ballots Cast,,,,,,1004
Kalamazoo,Portage City 2,Ballots Cast,,,,,,739
Kalamazoo,Portage City 3,Ballots Cast,,,,,,1229
Kalamazoo,Portage City 4,Ballots Cast,,,,,,1303
Kalamazoo,Portage City 5,Ballots Cast,,,,,,1248
Kalamazoo,Portage City 6,Ballots Cast,,,,,,1405
Kalamazoo,Portage City 7,Ballots Cast,,,,,,685
Kalamazoo,Portage City 8,Ballots Cast,,,,,,1766
Kalamazoo,Portage City 9,Ballots Cast,,,,,,1349
Kalamazoo,Portage City 10,Ballots Cast,,,,,,1394
Kalamazoo,Portage City 11,Ballots Cast,,,,,,1517
Kalamazoo,Portage City 12,Ballots Cast,,,,,,1351
Kalamazoo,Portage City 13,Ballots Cast,,,,,,1657
Kalamazoo,Portage City 14,Ballots Cast,,,,,,1363
Kalamazoo,Portage City 15,Ballots Cast,,,,,,1105
Kalamazoo,Portage City 16,Ballots Cast,,,,,,1553
Kalamazoo,Portage City 17,Ballots Cast,,,,,,1361
Kalamazoo,Portage City 18,Ballots Cast,,,,,,1681
Kalamazoo,Portage City 19,Ballots Cast,,,,,,1083
Kalamazoo,Alamo Twp. 1,Straight Party,,DEM,Democratic,82,54,136
Kalamazoo,Alamo Twp. 2,Straight Party,,DEM,Democratic,175,91,266
Kalamazoo,Brady Twp. 1,Straight Party,,DEM,Democratic,120,117,237
Kalamazoo,Brady Twp. 2,Straight Party,,DEM,Democratic,112,70,182
Kalamazoo,Charleston Twp. 1,Straight Party,,DEM,Democratic,103,100,203
Kalamazoo,Climax Twp. 1,Straight Party,,DEM,Democratic,128,87,215
Kalamazoo,Comstock Twp. 1,Straight Party,,DEM,Democratic,177,139,316
Kalamazoo,Comstock Twp. 2,Straight Party,,DEM,Democratic,190,157,347
Kalamazoo,Comstock Twp. 3,Straight Party,,DEM,Democratic,152,116,268
Kalamazoo,Comstock Twp. 4,Straight Party,,DEM,Democratic,153,79,232
Kalamazoo,Comstock Twp. 5,Straight Party,,DEM,Democratic,156,135,291
Kalamazoo,Comstock Twp. 6,Straight Party,,DEM,Democratic,165,79,244
Kalamazoo,Comstock Twp. 7,Straight Party,,DEM,Democratic,165,186,351
Kalamazoo,Cooper Twp. 1,Straight Party,,DEM,Democratic,94,69,163
Kalamazoo,Cooper Twp. 2,Straight Party,,DEM,Democratic,147,69,216
Kalamazoo,Cooper Twp. 3,Straight Party,,DEM,Democratic,270,184,454
Kalamazoo,Cooper Twp. 4,Straight Party,,DEM,Democratic,225,143,368
Kalamazoo,Cooper Twp. 5,Straight Party,,DEM,Democratic,53,98,151
Kalamazoo,Kalamazoo Twp. 1,Straight Party,,DEM,Democratic,33,36,69
Kalamazoo,Kalamazoo Twp. 2,Straight Party,,DEM,Democratic,113,135,248
Kalamazoo,Kalamazoo Twp. 3,Straight Party,,DEM,Democratic,382,264,646
Kalamazoo,Kalamazoo Twp. 4,Straight Party,,DEM,Democratic,255,242,497
Kalamazoo,Kalamazoo Twp. 5,Straight Party,,DEM,Democratic,209,153,362
Kalamazoo,Kalamazoo Twp. 6,Straight Party,,DEM,Democratic,235,206,441
Kalamazoo,Kalamazoo Twp. 7,Straight Party,,DEM,Democratic,331,208,539
Kalamazoo,Kalamazoo Twp. 8,Straight Party,,DEM,Democratic,164,197,361
Kalamazoo,Kalamazoo Twp. 9,Straight Party,,DEM,Democratic,134,141,275
Kalamazoo,Kalamazoo Twp. 10,Straight Party,,DEM,Democratic,230,215,445
Kalamazoo,Oshtemo Twp. 1,Straight Party,,DEM,Democratic,157,89,246
Kalamazoo,Oshtemo Twp. 2,Straight Party,,DEM,Democratic,272,227,499
Kalamazoo,Oshtemo Twp. 3,Straight Party,,DEM,Democratic,265,125,390
Kalamazoo,Oshtemo Twp. 4,Straight Party,,DEM,Democratic,270,164,434
Kalamazoo,Oshtemo Twp. 5,Straight Party,,DEM,Democratic,145,214,359
Kalamazoo,Oshtemo Twp. 6,Straight Party,,DEM,Democratic,252,112,364
Kalamazoo,Oshtemo Twp. 7,Straight Party,,DEM,Democratic,205,165,370
Kalamazoo,Oshtemo Twp. 8,Straight Party,,DEM,Democratic,142,123,265
Kalamazoo,Oshtemo Twp. 9,Straight Party,,DEM,Democratic,307,225,532
