county,precinct,office,candidate,district,party,votes
Montcalm,"Eureka Charter Township, Precinct 1",President,Jade Simmons,,W,0
Montcalm,"Eureka Charter Township, Precinct 1",President,Kasey Wells,,W,0
Montcalm,"Eureka Charter Township, Precinct 1",President,Tara Renee Hunter,,W,0
Montcalm,"Eureka Charter Township, Precinct 1",President,Tom Hoefling,,W,0
Montcalm,"Eureka Charter Township, Precinct 1",President,Undervotes,,,7
Montcalm,"Eureka Charter Township, Precinct 1",President,Overvotes,,,0
Montcalm,"Eureka Charter Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,460
Montcalm,"Eureka Charter Township, Precinct 1",U.S. Senate,John James,,REP,724
Montcalm,"Eureka Charter Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,12
Montcalm,"Eureka Charter Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,1
Montcalm,"Eureka Charter Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,5
Montcalm,"Eureka Charter Township, Precinct 1",U.S. Senate,Leonard Paul Gadzinski,,W,0
Montcalm,"Eureka Charter Township, Precinct 1",U.S. Senate,Robert William Carr,,W,0
Montcalm,"Eureka Charter Township, Precinct 1",U.S. Senate,Undervotes,,,25
Montcalm,"Eureka Charter Township, Precinct 1",U.S. Senate,Overvotes,,,1
Montcalm,"Eureka Charter Township, Precinct 1",U.S. House,Hillary Scholten,3,DEM,482
Montcalm,"Eureka Charter Township, Precinct 1",U.S. House,Peter Meijer,3,REP,705
Montcalm,"Eureka Charter Township, Precinct 1",U.S. House,Richard David Fuentes,3,W,0
Montcalm,"Eureka Charter Township, Precinct 1",U.S. House,Shannon Ruth Hogan,3,W,0
Montcalm,"Eureka Charter Township, Precinct 1",U.S. House,Undervotes,3,,41
Montcalm,"Eureka Charter Township, Precinct 1",U.S. House,Overvotes,3,,0
Montcalm,"Eureka Charter Township, Precinct 1",U.S. House,Jerry Hillard,4,DEM,
Montcalm,"Eureka Charter Township, Precinct 1",U.S. House,John Moolenaar,4,REP,
Montcalm,"Eureka Charter Township, Precinct 1",U.S. House,David Canny,4,LIB,
Montcalm,"Eureka Charter Township, Precinct 1",U.S. House,Amy Slepr,4,GRN,
Montcalm,"Eureka Charter Township, Precinct 1",U.S. House,Undervotes,4,,
Montcalm,"Eureka Charter Township, Precinct 1",U.S. House,Overvotes,4,,
Montcalm,"Eureka Charter Township, Precinct 1",State House,Karen Garvey,70,DEM,436
Montcalm,"Eureka Charter Township, Precinct 1",State House,Pat Outman,70,REP,731
Montcalm,"Eureka Charter Township, Precinct 1",State House,Undervotes,70,,61
Montcalm,"Eureka Charter Township, Precinct 1",State House,Overvotes,70,,0
Montcalm,"Eureka Charter Township, Precinct 2",Registered Voters,,,,1691
Montcalm,"Eureka Charter Township, Precinct 2",Ballots Cast,,,,1235
Montcalm,"Eureka Charter Township, Precinct 2",Straight Party,,,DEM,226
Montcalm,"Eureka Charter Township, Precinct 2",Straight Party,,,REP,513
Montcalm,"Eureka Charter Township, Precinct 2",Straight Party,,,LIB,4
Montcalm,"Eureka Charter Township, Precinct 2",Straight Party,,,UST,0
Montcalm,"Eureka Charter Township, Precinct 2",Straight Party,,,WCP,1
Montcalm,"Eureka Charter Township, Precinct 2",Straight Party,,,GRN,0
Montcalm,"Eureka Charter Township, Precinct 2",Straight Party,,,NLP,1
Montcalm,"Eureka Charter Township, Precinct 2",Straight Party,Undervotes,,,489
Montcalm,"Eureka Charter Township, Precinct 2",Straight Party,Overvotes,,,1
Montcalm,"Eureka Charter Township, Precinct 2",President,Joseph R Biden,,DEM,423
Montcalm,"Eureka Charter Township, Precinct 2",President,Donald J Trump,,REP,797
Montcalm,"Eureka Charter Township, Precinct 2",President,Jo Jorgensen,,LIB,10
Montcalm,"Eureka Charter Township, Precinct 2",President,Don Blankenship,,UST,1
Montcalm,"Eureka Charter Township, Precinct 2",President,Howie Hawkins,,GRN,2
Montcalm,"Eureka Charter Township, Precinct 2",President,Rocky De La Fuente,,NLP,0
Montcalm,"Eureka Charter Township, Precinct 2",President,Brian T Carroll,,W,0
Montcalm,"Eureka Charter Township, Precinct 2",President,Jade Simmons,,W,0
Montcalm,"Eureka Charter Township, Precinct 2",President,Kasey Wells,,W,0
Montcalm,"Eureka Charter Township, Precinct 2",President,Tara Renee Hunter,,W,0
Montcalm,"Eureka Charter Township, Precinct 2",President,Tom Hoefling,,W,0
Montcalm,"Eureka Charter Township, Precinct 2",President,Undervotes,,,2
Montcalm,"Eureka Charter Township, Precinct 2",President,Overvotes,,,0
Montcalm,"Eureka Charter Township, Precinct 2",U.S. Senate,Gary Peters,,DEM,407
Montcalm,"Eureka Charter Township, Precinct 2",U.S. Senate,John James,,REP,793
Montcalm,"Eureka Charter Township, Precinct 2",U.S. Senate,Valerie L Willis,,UST,9
Montcalm,"Eureka Charter Township, Precinct 2",U.S. Senate,Marcia Squier,,GRN,6
Montcalm,"Eureka Charter Township, Precinct 2",U.S. Senate,Doug Dern,,NLP,4
Montcalm,"Eureka Charter Township, Precinct 2",U.S. Senate,Leonard Paul Gadzinski,,W,0
Montcalm,"Eureka Charter Township, Precinct 2",U.S. Senate,Robert William Carr,,W,0
Montcalm,"Eureka Charter Township, Precinct 2",U.S. Senate,Undervotes,,,15
Montcalm,"Eureka Charter Township, Precinct 2",U.S. Senate,Overvotes,,,1
Montcalm,"Eureka Charter Township, Precinct 2",U.S. House,Hillary Scholten,3,DEM,419
Montcalm,"Eureka Charter Township, Precinct 2",U.S. House,Peter Meijer,3,REP,789
Montcalm,"Eureka Charter Township, Precinct 2",U.S. House,Richard David Fuentes,3,W,0
Montcalm,"Eureka Charter Township, Precinct 2",U.S. House,Shannon Ruth Hogan,3,W,0
Montcalm,"Eureka Charter Township, Precinct 2",U.S. House,Undervotes,3,,25
Montcalm,"Eureka Charter Township, Precinct 2",U.S. House,Overvotes,3,,2
Montcalm,"Eureka Charter Township, Precinct 2",U.S. House,Jerry Hillard,4,DEM,
Montcalm,"Eureka Charter Township, Precinct 2",U.S. House,John Moolenaar,4,REP,
Montcalm,"Eureka Charter Township, Precinct 2",U.S. House,David Canny,4,LIB,
Montcalm,"Eureka Charter Township, Precinct 2",U.S. House,Amy Slepr,4,GRN,
Montcalm,"Eureka Charter Township, Precinct 2",U.S. House,Undervotes,4,,
Montcalm,"Eureka Charter Township, Precinct 2",U.S. House,Overvotes,4,,
Montcalm,"Eureka Charter Township, Precinct 2",State House,Karen Garvey,70,DEM,398
Montcalm,"Eureka Charter Township, Precinct 2",State House,Pat Outman,70,REP,796
Montcalm,"Eureka Charter Township, Precinct 2",State House,Undervotes,70,,41
Montcalm,"Eureka Charter Township, Precinct 2",State House,Overvotes,70,,0
Montcalm,"Evergreen Township, Precinct 1",Registered Voters,,,,1330
Montcalm,"Evergreen Township, Precinct 1",Ballots Cast,,,,831
Montcalm,"Evergreen Township, Precinct 1",Straight Party,,,DEM,117
Montcalm,"Evergreen Township, Precinct 1",Straight Party,,,REP,375
Montcalm,"Evergreen Township, Precinct 1",Straight Party,,,LIB,0
Montcalm,"Evergreen Township, Precinct 1",Straight Party,,,UST,2
Montcalm,"Evergreen Township, Precinct 1",Straight Party,,,WCP,1
Montcalm,"Evergreen Township, Precinct 1",Straight Party,,,GRN,0
Montcalm,"Evergreen Township, Precinct 1",Straight Party,,,NLP,0
Montcalm,"Evergreen Township, Precinct 1",Straight Party,Undervotes,,,335
Montcalm,"Evergreen Township, Precinct 1",Straight Party,Overvotes,,,1
Montcalm,"Evergreen Township, Precinct 1",President,Joseph R Biden,,DEM,271
Montcalm,"Evergreen Township, Precinct 1",President,Donald J Trump,,REP,548
Montcalm,"Evergreen Township, Precinct 1",President,Jo Jorgensen,,LIB,4
Montcalm,"Evergreen Township, Precinct 1",President,Don Blankenship,,UST,0
Montcalm,"Evergreen Township, Precinct 1",President,Howie Hawkins,,GRN,1
Montcalm,"Evergreen Township, Precinct 1",President,Rocky De La Fuente,,NLP,2
Montcalm,"Evergreen Township, Precinct 1",President,Brian T Carroll,,W,0
Montcalm,"Evergreen Township, Precinct 1",President,Jade Simmons,,W,0
Montcalm,"Evergreen Township, Precinct 1",President,Kasey Wells,,W,0
Montcalm,"Evergreen Township, Precinct 1",President,Tara Renee Hunter,,W,0
Montcalm,"Evergreen Township, Precinct 1",President,Tom Hoefling,,W,0
Montcalm,"Evergreen Township, Precinct 1",President,Undervotes,,,4
Montcalm,"Evergreen Township, Precinct 1",President,Overvotes,,,1
Montcalm,"Evergreen Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,264
Montcalm,"Evergreen Township, Precinct 1",U.S. Senate,John James,,REP,523
Montcalm,"Evergreen Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,14
Montcalm,"Evergreen Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,4
Montcalm,"Evergreen Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,9
Montcalm,"Evergreen Township, Precinct 1",U.S. Senate,Leonard Paul Gadzinski,,W,0
Montcalm,"Evergreen Township, Precinct 1",U.S. Senate,Robert William Carr,,W,0
Montcalm,"Evergreen Township, Precinct 1",U.S. Senate,Undervotes,,,17
Montcalm,"Evergreen Township, Precinct 1",U.S. Senate,Overvotes,,,0
Montcalm,"Evergreen Township, Precinct 1",U.S. House,Hillary Scholten,3,DEM,
Montcalm,"Evergreen Township, Precinct 1",U.S. House,Peter Meijer,3,REP,
Montcalm,"Evergreen Township, Precinct 1",U.S. House,Richard David Fuentes,3,W,
Montcalm,"Evergreen Township, Precinct 1",U.S. House,Shannon Ruth Hogan,3,W,
Montcalm,"Evergreen Township, Precinct 1",U.S. House,Undervotes,3,,
Montcalm,"Evergreen Township, Precinct 1",U.S. House,Overvotes,3,,
Montcalm,"Evergreen Township, Precinct 1",U.S. House,Jerry Hillard,4,DEM,226
Montcalm,"Evergreen Township, Precinct 1",U.S. House,John Moolenaar,4,REP,553
Montcalm,"Evergreen Township, Precinct 1",U.S. House,David Canny,4,LIB,9
Montcalm,"Evergreen Township, Precinct 1",U.S. House,Amy Slepr,4,GRN,9
Montcalm,"Evergreen Township, Precinct 1",U.S. House,Undervotes,4,,34
Montcalm,"Evergreen Township, Precinct 1",U.S. House,Overvotes,4,,0
Montcalm,"Evergreen Township, Precinct 1",State House,Karen Garvey,70,DEM,238
Montcalm,"Evergreen Township, Precinct 1",State House,Pat Outman,70,REP,553
Montcalm,"Evergreen Township, Precinct 1",State House,Undervotes,70,,39
Montcalm,"Evergreen Township, Precinct 1",State House,Overvotes,70,,1
Montcalm,"Evergreen Township, Precinct 2",Registered Voters,,,,1044
Montcalm,"Evergreen Township, Precinct 2",Ballots Cast,,,,658
Montcalm,"Evergreen Township, Precinct 2",Straight Party,,,DEM,86
Montcalm,"Evergreen Township, Precinct 2",Straight Party,,,REP,288
Montcalm,"Evergreen Township, Precinct 2",Straight Party,,,LIB,1
Montcalm,"Evergreen Township, Precinct 2",Straight Party,,,UST,2
Montcalm,"Evergreen Township, Precinct 2",Straight Party,,,WCP,3
Montcalm,"Evergreen Township, Precinct 2",Straight Party,,,GRN,0
Montcalm,"Evergreen Township, Precinct 2",Straight Party,,,NLP,1
Montcalm,"Evergreen Township, Precinct 2",Straight Party,Undervotes,,,277
Montcalm,"Evergreen Township, Precinct 2",Straight Party,Overvotes,,,0
Montcalm,"Evergreen Township, Precinct 2",President,Joseph R Biden,,DEM,184
Montcalm,"Evergreen Township, Precinct 2",President,Donald J Trump,,REP,459
Montcalm,"Evergreen Township, Precinct 2",President,Jo Jorgensen,,LIB,8
Montcalm,"Evergreen Township, Precinct 2",President,Don Blankenship,,UST,2
Montcalm,"Evergreen Township, Precinct 2",President,Howie Hawkins,,GRN,1
Montcalm,"Evergreen Township, Precinct 2",President,Rocky De La Fuente,,NLP,1
Montcalm,"Evergreen Township, Precinct 2",President,Brian T Carroll,,W,0
Montcalm,"Evergreen Township, Precinct 2",President,Jade Simmons,,W,0
Montcalm,"Evergreen Township, Precinct 2",President,Kasey Wells,,W,0
Montcalm,"Evergreen Township, Precinct 2",President,Tara Renee Hunter,,W,0
Montcalm,"Evergreen Township, Precinct 2",President,Tom Hoefling,,W,0
Montcalm,"Evergreen Township, Precinct 2",President,Undervotes,,,3
Montcalm,"Evergreen Township, Precinct 2",President,Overvotes,,,0
Montcalm,"Evergreen Township, Precinct 2",U.S. Senate,Gary Peters,,DEM,180
Montcalm,"Evergreen Township, Precinct 2",U.S. Senate,John James,,REP,448
Montcalm,"Evergreen Township, Precinct 2",U.S. Senate,Valerie L Willis,,UST,10
Montcalm,"Evergreen Township, Precinct 2",U.S. Senate,Marcia Squier,,GRN,5
Montcalm,"Evergreen Township, Precinct 2",U.S. Senate,Doug Dern,,NLP,1
Montcalm,"Evergreen Township, Precinct 2",U.S. Senate,Leonard Paul Gadzinski,,W,0
Montcalm,"Evergreen Township, Precinct 2",U.S. Senate,Robert William Carr,,W,0
Montcalm,"Evergreen Township, Precinct 2",U.S. Senate,Undervotes,,,13
Montcalm,"Evergreen Township, Precinct 2",U.S. Senate,Overvotes,,,1
Montcalm,"Evergreen Township, Precinct 2",U.S. House,Hillary Scholten,3,DEM,
Montcalm,"Evergreen Township, Precinct 2",U.S. House,Peter Meijer,3,REP,
Montcalm,"Evergreen Township, Precinct 2",U.S. House,Richard David Fuentes,3,W,
Montcalm,"Evergreen Township, Precinct 2",U.S. House,Shannon Ruth Hogan,3,W,
Montcalm,"Evergreen Township, Precinct 2",U.S. House,Undervotes,3,,
Montcalm,"Evergreen Township, Precinct 2",U.S. House,Overvotes,3,,
Montcalm,"Evergreen Township, Precinct 2",U.S. House,Jerry Hillard,4,DEM,153
Montcalm,"Evergreen Township, Precinct 2",U.S. House,John Moolenaar,4,REP,458
Montcalm,"Evergreen Township, Precinct 2",U.S. House,David Canny,4,LIB,9
Montcalm,"Evergreen Township, Precinct 2",U.S. House,Amy Slepr,4,GRN,7
Montcalm,"Evergreen Township, Precinct 2",U.S. House,Undervotes,4,,30
Montcalm,"Evergreen Township, Precinct 2",U.S. House,Overvotes,4,,1
Montcalm,"Evergreen Township, Precinct 2",State House,Karen Garvey,70,DEM,156
Montcalm,"Evergreen Township, Precinct 2",State House,Pat Outman,70,REP,480
Montcalm,"Evergreen Township, Precinct 2",State House,Undervotes,70,,21
Montcalm,"Evergreen Township, Precinct 2",State House,Overvotes,70,,1
Montcalm,"Fairplain Township, Precinct 1",Registered Voters,,,,1401
Montcalm,"Fairplain Township, Precinct 1",Ballots Cast,,,,966
Montcalm,"Fairplain Township, Precinct 1",Straight Party,,,DEM,139
Montcalm,"Fairplain Township, Precinct 1",Straight Party,,,REP,419
Montcalm,"Fairplain Township, Precinct 1",Straight Party,,,LIB,3
Montcalm,"Fairplain Township, Precinct 1",Straight Party,,,UST,5
Montcalm,"Fairplain Township, Precinct 1",Straight Party,,,WCP,3
Montcalm,"Fairplain Township, Precinct 1",Straight Party,,,GRN,1
Montcalm,"Fairplain Township, Precinct 1",Straight Party,,,NLP,1
Montcalm,"Fairplain Township, Precinct 1",Straight Party,Undervotes,,,394
Montcalm,"Fairplain Township, Precinct 1",Straight Party,Overvotes,,,1
Montcalm,"Fairplain Township, Precinct 1",President,Joseph R Biden,,DEM,282
Montcalm,"Fairplain Township, Precinct 1",President,Donald J Trump,,REP,664
Montcalm,"Fairplain Township, Precinct 1",President,Jo Jorgensen,,LIB,8
Montcalm,"Fairplain Township, Precinct 1",President,Don Blankenship,,UST,1
Montcalm,"Fairplain Township, Precinct 1",President,Howie Hawkins,,GRN,3
Montcalm,"Fairplain Township, Precinct 1",President,Rocky De La Fuente,,NLP,1
Montcalm,"Fairplain Township, Precinct 1",President,Brian T Carroll,,W,1
Montcalm,"Fairplain Township, Precinct 1",President,Jade Simmons,,W,0
Montcalm,"Fairplain Township, Precinct 1",President,Kasey Wells,,W,0
Montcalm,"Fairplain Township, Precinct 1",President,Tara Renee Hunter,,W,0
Montcalm,"Fairplain Township, Precinct 1",President,Tom Hoefling,,W,0
Montcalm,"Fairplain Township, Precinct 1",President,Undervotes,,,6
Montcalm,"Fairplain Township, Precinct 1",President,Overvotes,,,0
Montcalm,"Fairplain Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,297
Montcalm,"Fairplain Township, Precinct 1",U.S. Senate,John James,,REP,614
Montcalm,"Fairplain Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,18
Montcalm,"Fairplain Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,9
Montcalm,"Fairplain Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,6
Montcalm,"Fairplain Township, Precinct 1",U.S. Senate,Leonard Paul Gadzinski,,W,0
Montcalm,"Fairplain Township, Precinct 1",U.S. Senate,Robert William Carr,,W,0
Montcalm,"Fairplain Township, Precinct 1",U.S. Senate,Undervotes,,,21
Montcalm,"Fairplain Township, Precinct 1",U.S. Senate,Overvotes,,,1
Montcalm,"Fairplain Township, Precinct 1",U.S. House,Hillary Scholten,3,DEM,
Montcalm,"Fairplain Township, Precinct 1",U.S. House,Peter Meijer,3,REP,
Montcalm,"Fairplain Township, Precinct 1",U.S. House,Richard David Fuentes,3,W,
Montcalm,"Fairplain Township, Precinct 1",U.S. House,Shannon Ruth Hogan,3,W,
Montcalm,"Fairplain Township, Precinct 1",U.S. House,Undervotes,3,,
Montcalm,"Fairplain Township, Precinct 1",U.S. House,Overvotes,3,,
Montcalm,"Fairplain Township, Precinct 1",U.S. House,Jerry Hillard,4,DEM,244
Montcalm,"Fairplain Township, Precinct 1",U.S. House,John Moolenaar,4,REP,648
Montcalm,"Fairplain Township, Precinct 1",U.S. House,David Canny,4,LIB,26
Montcalm,"Fairplain Township, Precinct 1",U.S. House,Amy Slepr,4,GRN,12
Montcalm,"Fairplain Township, Precinct 1",U.S. House,Undervotes,4,,36
Montcalm,"Fairplain Township, Precinct 1",U.S. House,Overvotes,4,,0
Montcalm,"Fairplain Township, Precinct 1",State House,Karen Garvey,70,DEM,263
Montcalm,"Fairplain Township, Precinct 1",State House,Pat Outman,70,REP,656
Montcalm,"Fairplain Township, Precinct 1",State House,Undervotes,70,,46
Montcalm,"Fairplain Township, Precinct 1",State House,Overvotes,70,,1
Montcalm,"Ferris Township, Precinct 1",Registered Voters,,,,1017
Montcalm,"Ferris Township, Precinct 1",Ballots Cast,,,,711
Montcalm,"Ferris Township, Precinct 1",Straight Party,,,DEM,93
Montcalm,"Ferris Township, Precinct 1",Straight Party,,,REP,349
Montcalm,"Ferris Township, Precinct 1",Straight Party,,,LIB,2
Montcalm,"Ferris Township, Precinct 1",Straight Party,,,UST,0
Montcalm,"Ferris Township, Precinct 1",Straight Party,,,WCP,2
Montcalm,"Ferris Township, Precinct 1",Straight Party,,,GRN,0
Montcalm,"Ferris Township, Precinct 1",Straight Party,,,NLP,0
Montcalm,"Ferris Township, Precinct 1",Straight Party,Undervotes,,,265
Montcalm,"Ferris Township, Precinct 1",Straight Party,Overvotes,,,0
Montcalm,"Ferris Township, Precinct 1",President,Joseph R Biden,,DEM,169
Montcalm,"Ferris Township, Precinct 1",President,Donald J Trump,,REP,523
Montcalm,"Ferris Township, Precinct 1",President,Jo Jorgensen,,LIB,12
Montcalm,"Ferris Township, Precinct 1",President,Don Blankenship,,UST,2
Montcalm,"Ferris Township, Precinct 1",President,Howie Hawkins,,GRN,2
Montcalm,"Ferris Township, Precinct 1",President,Rocky De La Fuente,,NLP,0
Montcalm,"Ferris Township, Precinct 1",President,Brian T Carroll,,W,0
Montcalm,"Ferris Township, Precinct 1",President,Jade Simmons,,W,0
Montcalm,"Ferris Township, Precinct 1",President,Kasey Wells,,W,0
Montcalm,"Ferris Township, Precinct 1",President,Tara Renee Hunter,,W,0
Montcalm,"Ferris Township, Precinct 1",President,Tom Hoefling,,W,0
Montcalm,"Ferris Township, Precinct 1",President,Undervotes,,,2
Montcalm,"Ferris Township, Precinct 1",President,Overvotes,,,1
Montcalm,"Ferris Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,173
Montcalm,"Ferris Township, Precinct 1",U.S. Senate,John James,,REP,503
Montcalm,"Ferris Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,15
Montcalm,"Ferris Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,3
Montcalm,"Ferris Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,2
Montcalm,"Ferris Township, Precinct 1",U.S. Senate,Leonard Paul Gadzinski,,W,0
Montcalm,"Ferris Township, Precinct 1",U.S. Senate,Robert William Carr,,W,0
Montcalm,"Ferris Township, Precinct 1",U.S. Senate,Undervotes,,,15
Montcalm,"Ferris Township, Precinct 1",U.S. Senate,Overvotes,,,0
Montcalm,"Ferris Township, Precinct 1",U.S. House,Hillary Scholten,3,DEM,
Montcalm,"Ferris Township, Precinct 1",U.S. House,Peter Meijer,3,REP,
Montcalm,"Ferris Township, Precinct 1",U.S. House,Richard David Fuentes,3,W,
Montcalm,"Ferris Township, Precinct 1",U.S. House,Shannon Ruth Hogan,3,W,
Montcalm,"Ferris Township, Precinct 1",U.S. House,Undervotes,3,,
Montcalm,"Ferris Township, Precinct 1",U.S. House,Overvotes,3,,
Montcalm,"Ferris Township, Precinct 1",U.S. House,Jerry Hillard,4,DEM,154
Montcalm,"Ferris Township, Precinct 1",U.S. House,John Moolenaar,4,REP,495
Montcalm,"Ferris Township, Precinct 1",U.S. House,David Canny,4,LIB,11
Montcalm,"Ferris Township, Precinct 1",U.S. House,Amy Slepr,4,GRN,16
Montcalm,"Ferris Township, Precinct 1",U.S. House,Undervotes,4,,33
Montcalm,"Ferris Township, Precinct 1",U.S. House,Overvotes,4,,2
Montcalm,"Ferris Township, Precinct 1",State House,Karen Garvey,70,DEM,180
Montcalm,"Ferris Township, Precinct 1",State House,Pat Outman,70,REP,497
Montcalm,"Ferris Township, Precinct 1",State House,Undervotes,70,,34
Montcalm,"Ferris Township, Precinct 1",State House,Overvotes,70,,0
Montcalm,"Home Township, Precinct 1",Registered Voters,,,,2041
Montcalm,"Home Township, Precinct 1",Ballots Cast,,,,1279
Montcalm,"Home Township, Precinct 1",Straight Party,,,DEM,180
Montcalm,"Home Township, Precinct 1",Straight Party,,,REP,578
Montcalm,"Home Township, Precinct 1",Straight Party,,,LIB,11
Montcalm,"Home Township, Precinct 1",Straight Party,,,UST,1
Montcalm,"Home Township, Precinct 1",Straight Party,,,WCP,6
Montcalm,"Home Township, Precinct 1",Straight Party,,,GRN,1
Montcalm,"Home Township, Precinct 1",Straight Party,,,NLP,3
Montcalm,"Home Township, Precinct 1",Straight Party,Undervotes,,,499
Montcalm,"Home Township, Precinct 1",Straight Party,Overvotes,,,0
Montcalm,"Home Township, Precinct 1",President,Joseph R Biden,,DEM,336
Montcalm,"Home Township, Precinct 1",President,Donald J Trump,,REP,910
Montcalm,"Home Township, Precinct 1",President,Jo Jorgensen,,LIB,18
Montcalm,"Home Township, Precinct 1",President,Don Blankenship,,UST,2
Montcalm,"Home Township, Precinct 1",President,Howie Hawkins,,GRN,1
Montcalm,"Home Township, Precinct 1",President,Rocky De La Fuente,,NLP,2
Montcalm,"Home Township, Precinct 1",President,Brian T Carroll,,W,1
Montcalm,"Home Township, Precinct 1",President,Jade Simmons,,W,0
Montcalm,"Home Township, Precinct 1",President,Kasey Wells,,W,0
Montcalm,"Home Township, Precinct 1",President,Tara Renee Hunter,,W,0
Montcalm,"Home Township, Precinct 1",President,Tom Hoefling,,W,0
Montcalm,"Home Township, Precinct 1",President,Undervotes,,,9
Montcalm,"Home Township, Precinct 1",President,Overvotes,,,0
Montcalm,"Home Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,354
Montcalm,"Home Township, Precinct 1",U.S. Senate,John James,,REP,860
Montcalm,"Home Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,17
Montcalm,"Home Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,7
Montcalm,"Home Township, Precinct 1",U.S. Senate,Doug Dern,,NLP,8
Montcalm,"Home Township, Precinct 1",U.S. Senate,Leonard Paul Gadzinski,,W,0
Montcalm,"Home Township, Precinct 1",U.S. Senate,Robert William Carr,,W,0
Montcalm,"Home Township, Precinct 1",U.S. Senate,Undervotes,,,29
Montcalm,"Home Township, Precinct 1",U.S. Senate,Overvotes,,,4
Montcalm,"Home Township, Precinct 1",U.S. House,Hillary Scholten,3,DEM,
Montcalm,"Home Township, Precinct 1",U.S. House,Peter Meijer,3,REP,
Montcalm,"Home Township, Precinct 1",U.S. House,Richard David Fuentes,3,W,
Montcalm,"Home Township, Precinct 1",U.S. House,Shannon Ruth Hogan,3,W,
Montcalm,"Home Township, Precinct 1",U.S. House,Undervotes,3,,
Montcalm,"Home Township, Precinct 1",U.S. House,Overvotes,3,,
Montcalm,"Home Township, Precinct 1",U.S. House,Jerry Hillard,4,DEM,295
Montcalm,"Home Township, Precinct 1",U.S. House,John Moolenaar,4,REP,883
Montcalm,"Home Township, Precinct 1",U.S. House,David Canny,4,LIB,20
Montcalm,"Home Township, Precinct 1",U.S. House,Amy Slepr,4,GRN,22
Montcalm,"Home Township, Precinct 1",U.S. House,Undervotes,4,,59
Montcalm,"Home Township, Precinct 1",U.S. House,Overvotes,4,,0
Montcalm,"Home Township, Precinct 1",State House,Karen Garvey,70,DEM,373
Montcalm,"Home Township, Precinct 1",State House,Pat Outman,70,REP,862
Montcalm,"Home Township, Precinct 1",State House,Undervotes,70,,42
Montcalm,"Home Township, Precinct 1",State House,Overvotes,70,,2
Montcalm,"Maple Valley Township, Precinct 1",Registered Voters,,,,1520
Montcalm,"Maple Valley Township, Precinct 1",Ballots Cast,,,,1045
Montcalm,"Maple Valley Township, Precinct 1",Straight Party,,,DEM,120
Montcalm,"Maple Valley Township, Precinct 1",Straight Party,,,REP,480
Montcalm,"Maple Valley Township, Precinct 1",Straight Party,,,LIB,7
Montcalm,"Maple Valley Township, Precinct 1",Straight Party,,,UST,2
Montcalm,"Maple Valley Township, Precinct 1",Straight Party,,,WCP,3
Montcalm,"Maple Valley Township, Precinct 1",Straight Party,,,GRN,0
Montcalm,"Maple Valley Township, Precinct 1",Straight Party,,,NLP,0
Montcalm,"Maple Valley Township, Precinct 1",Straight Party,Undervotes,,,433
Montcalm,"Maple Valley Township, Precinct 1",Straight Party,Overvotes,,,0
Montcalm,"Maple Valley Township, Precinct 1",President,Joseph R Biden,,DEM,231
Montcalm,"Maple Valley Township, Precinct 1",President,Donald J Trump,,REP,788
Montcalm,"Maple Valley Township, Precinct 1",President,Jo Jorgensen,,LIB,16
Montcalm,"Maple Valley Township, Precinct 1",President,Don Blankenship,,UST,4
Montcalm,"Maple Valley Township, Precinct 1",President,Howie Hawkins,,GRN,1
Montcalm,"Maple Valley Township, Precinct 1",President,Rocky De La Fuente,,NLP,0
Montcalm,"Maple Valley Township, Precinct 1",President,Brian T Carroll,,W,0
Montcalm,"Maple Valley Township, Precinct 1",President,Jade Simmons,,W,0
Montcalm,"Maple Valley Township, Precinct 1",President,Kasey Wells,,W,0
Montcalm,"Maple Valley Township, Precinct 1",President,Tara Renee Hunter,,W,0
Montcalm,"Maple Valley Township, Precinct 1",President,Tom Hoefling,,W,0
Montcalm,"Maple Valley Township, Precinct 1",President,Undervotes,,,5
Montcalm,"Maple Valley Township, Precinct 1",President,Overvotes,,,0
Montcalm,"Maple Valley Township, Precinct 1",U.S. Senate,Gary Peters,,DEM,239
Montcalm,"Maple Valley Township, Precinct 1",U.S. Senate,John James,,REP,762
Montcalm,"Maple Valley Township, Precinct 1",U.S. Senate,Valerie L Willis,,UST,18
Montcalm,"Maple Valley Township, Precinct 1",U.S. Senate,Marcia Squier,,GRN,7
