county,precinct,office,candidate,district,party,votes
Presque Isle,"City of Onaway, Precinct 1",Ballots Cast,,,,422
Presque Isle,"City of Onaway, Precinct 1",Straight Party,,,DEM,88
Presque Isle,"City of Onaway, Precinct 1",Straight Party,,,REP,153
Presque Isle,"City of Onaway, Precinct 1",Straight Party,,,LIB,3
Presque Isle,"City of Onaway, Precinct 1",Straight Party,,,UST,1
Presque Isle,"City of Onaway, Precinct 1",Straight Party,,,WCP,1
Presque Isle,"City of Onaway, Precinct 1",Straight Party,,,GRN,0
Presque Isle,"City of Onaway, Precinct 1",Straight Party,,,NLP,1
Presque Isle,"City of Onaway, Precinct 1",President,Joseph R Biden,,DEM,145
Presque Isle,"City of Onaway, Precinct 1",President,Donald J Trump,,REP,261
Presque Isle,"City of Onaway, Precinct 1",President,Jo Jorgensen,,LIB,13
Presque Isle,"City of Onaway, Precinct 1",President,Don Blankenship,,UST,0
Presque Isle,"City of Onaway, Precinct 1",President,Howie Hawkins,,GRN,0
Presque Isle,"City of Onaway, Precinct 1",President,Rocky De La Fuente,,NLP,1
Presque Isle,"City of Onaway, Precinct 1",U.S. Senate,Gary Peters,,DEM,151
Presque Isle,"City of Onaway, Precinct 1",U.S. Senate,John James,,REP,256
Presque Isle,"City of Onaway, Precinct 1",U.S. Senate,Valerie L Willis,,UST,1
Presque Isle,"City of Onaway, Precinct 1",U.S. Senate,Marcia Squier,,GRN,6
Presque Isle,"City of Onaway, Precinct 1",U.S. Senate,Doug Dern,,NLP,1
Presque Isle,"City of Onaway, Precinct 1",U.S. House,Dana Ferguson,1,DEM,135
Presque Isle,"City of Onaway, Precinct 1",U.S. House,Jack Bergman,1,REP,263
Presque Isle,"City of Onaway, Precinct 1",U.S. House,Ben Boren,1,LIB,13
Presque Isle,"City of Onaway, Precinct 1",State House,LeeAnn Johnson,106,DEM,135
Presque Isle,"City of Onaway, Precinct 1",State House,Sue Allor,106,REP,271
Presque Isle,"City of Rogers City, Precinct 1",Registered Voters,,,,2328
Presque Isle,"City of Rogers City, Precinct 1",Ballots Cast,,,,1687
Presque Isle,"City of Rogers City, Precinct 1",Straight Party,,,DEM,293
Presque Isle,"City of Rogers City, Precinct 1",Straight Party,,,REP,562
Presque Isle,"City of Rogers City, Precinct 1",Straight Party,,,LIB,3
Presque Isle,"City of Rogers City, Precinct 1",Straight Party,,,UST,2
Presque Isle,"City of Rogers City, Precinct 1",Straight Party,,,WCP,5
Presque Isle,"City of Rogers City, Precinct 1",Straight Party,,,GRN,1
Presque Isle,"City of Rogers City, Precinct 1",Straight Party,,,NLP,1
Presque Isle,"City of Rogers City, Precinct 1",President,Joseph R Biden,,DEM,632
Presque Isle,"City of Rogers City, Precinct 1",President,Donald J Trump,,REP,1020
Presque Isle,"City of Rogers City, Precinct 1",President,Jo Jorgensen,,LIB,15
Presque Isle,"City of Rogers City, Precinct 1",President,Don Blankenship,,UST,0
Presque Isle,"City of Rogers City, Precinct 1",President,Howie Hawkins,,GRN,0
Presque Isle,"City of Rogers City, Precinct 1",President,Rocky De La Fuente,,NLP,0
Presque Isle,"City of Rogers City, Precinct 1",U.S. Senate,Gary Peters,,DEM,666
Presque Isle,"City of Rogers City, Precinct 1",U.S. Senate,John James,,REP,984
Presque Isle,"City of Rogers City, Precinct 1",U.S. Senate,Valerie L Willis,,UST,9
Presque Isle,"City of Rogers City, Precinct 1",U.S. Senate,Marcia Squier,,GRN,0
Presque Isle,"City of Rogers City, Precinct 1",U.S. Senate,Doug Dern,,NLP,3
Presque Isle,"City of Rogers City, Precinct 1",U.S. House,Dana Ferguson,1,DEM,560
Presque Isle,"City of Rogers City, Precinct 1",U.S. House,Jack Bergman,1,REP,1074
Presque Isle,"City of Rogers City, Precinct 1",U.S. House,Ben Boren,1,LIB,18
Presque Isle,"City of Rogers City, Precinct 1",State House,LeeAnn Johnson,106,DEM,541
Presque Isle,"City of Rogers City, Precinct 1",State House,Sue Allor,106,REP,1088
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",Registered Voters,,,,813
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",Ballots Cast,,,,813
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",Straight Party,,,DEM,0
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",Straight Party,,,REP,0
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",Straight Party,,,LIB,0
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",Straight Party,,,UST,0
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",Straight Party,,,WCP,0
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",Straight Party,,,GRN,0
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",Straight Party,,,NLP,0
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",President,Joseph R Biden,,DEM,4
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",President,Donald J Trump,,REP,
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",President,Jo Jorgensen,,LIB,
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",President,Don Blankenship,,UST,
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",President,Howie Hawkins,,GRN,
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",President,Rocky De La Fuente,,NLP,
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",U.S. Senate,Gary Peters,,DEM,
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",U.S. Senate,John James,,REP,
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",U.S. Senate,Valerie L Willis,,UST,
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",U.S. Senate,Marcia Squier,,GRN,
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",U.S. Senate,Doug Dern,,NLP,
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",U.S. House,Dana Ferguson,1,DEM,
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",U.S. House,Jack Bergman,1,REP,
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",U.S. House,Ben Boren,1,LIB,
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",State House,LeeAnn Johnson,106,DEM,
Presque Isle,"Forest Township, Precinct 1 (Cheboygan County)",State House,Sue Allor,106,REP,
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",Registered Voters,,,,359
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",Ballots Cast,,,,359
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",Straight Party,,,DEM,0
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",Straight Party,,,REP,0
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",Straight Party,,,LIB,0
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",Straight Party,,,UST,0
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",Straight Party,,,WCP,0
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",Straight Party,,,GRN,0
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",Straight Party,,,NLP,0
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",President,Joseph R Biden,,DEM,
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",President,Donald J Trump,,REP,
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",President,Jo Jorgensen,,LIB,
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",President,Don Blankenship,,UST,
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",President,Howie Hawkins,,GRN,
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",President,Rocky De La Fuente,,NLP,
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",U.S. Senate,Gary Peters,,DEM,
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",U.S. Senate,John James,,REP,
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",U.S. Senate,Valerie L Willis,,UST,
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",U.S. Senate,Marcia Squier,,GRN,
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",U.S. Senate,Doug Dern,,NLP,
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",U.S. House,Dana Ferguson,1,DEM,
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",U.S. House,Jack Bergman,1,REP,
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",U.S. House,Ben Boren,1,LIB,
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",State House,LeeAnn Johnson,106,DEM,
Presque Isle,"Waverly Township, Precinct 1 (Cheboygan County)",State House,Sue Allor,106,REP,
